UPPINGHAM SCHOOL (24) (WEST BANK),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7574,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,3.25,0.77,2.25,1.06,,,,1.45,,
February,,0.75,2.46,3.81,0.66,2.01,,,1.32,0.62,,
March,,1.45,1.81,1.72,0.55,0.77,,,1.63,0.11,,
April,,1.17,2.98,1.76,2.29,0.74,,,,1.27,,
May,,2.45,1.01,0.88,3.27,3.01,,,,1.67,,
June,,1.18,0.84,0.65,2.73,0.05,,,2.80,1.50,,
July,,,5.18,3.42,2.43,,,,0.54,1.91,,
August,,,4.66,1.97,2.05,,,,,1.80,,
September,,,2.13,2.94,2.61,,,,,1.20,,
October,,,0.91,3.39,4.36,2.07,,,3.43,3.17,,
November,,,1.16,1.55,1.76,1.10,,,2.86,4.94,,
December,,,2.56,2.87,2.46,1.49,,,1.95,4.24,,
Total,,,28.95,25.73,27.42,,,,,,,
Calc annual,0.00,7.00,28.95,25.73,27.42,12.30,0.00,0.00,14.53,23.88,0.00,
Difference,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
