BUXTON-GOYTS-MOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK019717,Long,-1.9729881,Lat,53.242321,Elevation,1410,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/2/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.57,5.77,2.93,4.94,3.96,6.29,5.15,6.45,7.18,,,,6.76,7.7,5.2,5.9,4.4,11.55,4,3.7,8.7,6.05,2.97,4.45,3.8,,,,,8.15
February,7.1,0.4,7.32,0.44,5.85,3.06,6.87,1.2,3.85,,,,3.9,3.05,5.4,8.6,2.3,4.35,2.1,7.35,5.85,4.4,3.11,5.1,3.1,1.8,3.55,8.25,0.95,
March,0.24,3.41,3.06,4.13,2.07,5.63,6.53,1,3.25,,4.1,3.25,1.55,1.15,2.3,2,8,,3.1,2.45,7.6,3.85,2.78,3.6,3.95,2.35,5.8,2.95,2.5,2.18
April,6.29,5.36,2.16,2.94,4.04,1.74,5.55,0.45,3.25,3.75,3.55,2.05,3.15,4.1,,2.4,3.75,2.45,4.3,5,3.9,4.6,3.95,1.05,3.15,2.45,0.48,1.9,3.6,
May,4.04,5.43,2.08,3.36,0.66,0.62,2.6,2.75,1.65,2.4,4,5.65,3.9,3.1,3.85,2.15,2.8,2.05,3.4,1.7,2.8,2.63,2.56,3.95,5.1,1.2,,4.9,0.81,
June,7.03,1.17,4.29,1.94,4.9,3.8,1.85,3,3.4,2.55,2.65,0.75,3.6,4.6,4.65,5.4,2.5,7.65,2.3,3.51,2.35,4.13,4.33,4.35,3.9,4,2.4,7,1.78,2.78
July,5.98,4.4,3.61,3.02,2.45,7.82,4.3,,9.55,4.65,3.85,5.5,2.6,5.3,1.65,6.5,3.6,4.75,3.1,3.8,3.6,4.2,5.75,6.75,,6.65,,6.45,,
August,7.6,1.97,1.83,3.83,2.43,2.84,1.15,3.5,3.25,2.7,7.9,3.05,5.75,4.2,3.4,6.7,0.59,7,3.45,5.2,6.35,2.84,5.08,6.9,1.4,,6.65,4.4,0.05,4.6
September,5.95,4.7,0.77,4.47,8.13,6.03,1.95,3.1,1.75,3.9,,3.85,5.75,6.45,2.75,7.4,2.45,3.25,1.75,6.9,3.1,4.45,3.55,6.1,3.35,4.25,,,0.21,4.9
October,2.66,8.85,7.65,6.25,8.62,6.61,3.1,7.25,3.67,5.35,,7.5,3.7,6.75,7.65,1.1,1.15,3.5,4.7,2.9,1.3,5.02,2.75,8.65,3.5,,,5.3,4.09,6.79
November,7.92,4.48,2.96,2.51,7.11,6.18,2.6,5.4,8.6,9.19,4.5,2.4,4.75,7.95,0.95,8.4,5.9,3.15,6.75,7.43,11.4,3.54,3.2,7.65,3.25,,2.3,,5.42,6.75
December,2.32,2.38,0.72,9.1,6.22,5.75,4.75,7.77,3.4,5.5,3.45,4.69,3.65,4.35,4.65,5,5.5,4.9,6.6,4.1,5.95,,2.4,7.9,,,6.05,5,8,
Total,65.7,48.32,39.38,46.93,56.44,56.37,46.4,,52.8,,,,49.06,58.7,,61.55,42.94,,45.55,54.04,62.9,,42.43,66.45,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11852 GOYTS MOSS Start 1931 end 1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950Gs record and is near Goyts Moss farm. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Readings for Feb to Jul 1938 are noted as being unreliable, but only July in brackets and only July removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
