"BUXTON (GOYTS MOSS)",,,,,,,,,,,,
Grid ref,SK019717,Long,-1.972988,Lat,53.242321,,,,,,,
Station no,2643/2/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.70,6.05,2.97,4.45,3.80,9.10,3.85,5.80,5.20,8.15,,
February,5.85,4.40,3.11,5.10,3.10,1.80,3.55,8.25,0.95,4.00,,
March,7.60,3.85,2.78,3.60,3.95,2.35,5.80,2.95,2.50,2.18,,
April,3.90,4.60,3.95,1.05,3.15,2.45,0.48,1.90,3.60,2.90,,
May,2.80,2.63,2.56,3.95,5.10,1.20,3.20,4.90,0.81,2.20,,
June,2.35,4.13,4.33,4.35,3.90,4.00,2.40,7.00,1.78,2.78,,
July,3.60,4.20,5.75,6.75,2.00,6.65,7.20,6.45,4.25,8.60,,
August,6.35,2.84,5.08,6.90,1.40,11.50,6.65,4.40,0.05,4.60,,
September,3.10,4.45,3.55,6.10,3.35,4.25,11.50,6.20,0.21,4.90,,
October,1.30,5.02,2.75,8.65,3.50,3.60,5.00,5.30,4.09,6.79,,
November,11.40,3.54,3.20,7.65,3.25,2.20,2.30,2.20,5.42,6.75,,
December,5.95,5.25,2.40,7.90,6.00,7.26,6.05,5.00,8.00,5.60,,
Total,62.90,50.96,42.43,66.45,42.50,56.36,57.98,60.35,36.86,59.45,,
Calc annual,62.90,50.96,42.43,66.45,42.50,56.36,57.98,60.35,36.86,59.45,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
