MELLING HORNBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD586687,Long,-2.6338,Lat,54.1133,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,3.2,3.55,7.45,3.82,3.79,5.08,4.14,1.83,6.9,6.35,6.7,5.28,2.21,-999,4.2,1.18,0.48,0.55,3.68,1.66,6.35,2.14,4.34,2.38,1,2.78,6.25,0.55,3.33,1.05,5.26,1.93,2.77,0.83,4.77,6.97,5.33,2.74,2.88,5.74,4.74,3.11,6.69,2.34,4.98,3.3,5.98,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,3.15,3.2,6,3.43,3.46,7.98,2.43,4.29,4.73,0.5,1.91,1.26,5.41,-999,1.97,2.81,4.33,4.13,3.84,0.86,2.65,3.45,1.66,0.32,0.71,2.35,0.68,0.51,2.23,5.88,6.01,0.39,1.12,3.59,4.18,2.71,4.28,1.12,0.99,5.34,3.36,2.73,3.6,2.73,3.56,2.75,7.87,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,3.85,2.6,2.7,1.32,7.09,1.02,1.97,2.32,4.45,2.38,4.34,0.82,-999,3.69,2.86,2.24,3.21,4.63,4.68,0.89,3.12,4.32,2.87,0.44,1.96,3.44,4.58,1.92,1.29,2.71,4.59,3.7,7.1,6.15,1.75,2.28,0.35,4.69,2.52,5.17,2.78,4.32,5,5.18,4.27,2.57,0.94,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.4,1.2,1.05,5.12,2.57,2.68,1.83,3.17,2.39,0.39,2.54,1.2,-999,2.28,1.77,1.03,1.8,1.73,4.17,2.56,1.09,1.26,0.71,2.34,0.65,0.92,1.12,0.72,1.88,0.5,2.71,2.33,2.07,3.04,5,4.2,3.39,2.3,2.24,2.08,4.07,3.05,2.24,2.47,2.14,4.47,2.5,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.5,5.45,1.3,1.97,1.31,3.19,3.24,1.89,2.18,1.32,1.58,3.1,-999,2.08,4.32,2.43,2.29,4.85,1.87,1.57,1.11,0.59,2.27,2.27,0.87,7.14,2.71,2.19,4.84,2.01,3.17,0.69,1.02,2.5,1.18,3.53,2.16,1.35,2.9,3.13,2.67,2.17,5.39,3.79,3.34,1.21,2.67,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,5.8,0.65,4.05,2.36,0.44,2.06,1.65,2.01,4.57,2.67,1.34,3.96,-999,3.07,3.1,4.51,4.28,4.71,4.65,4.09,0.24,2.81,1.93,0.21,1.87,1.04,2.87,1.01,3.37,3.62,3.38,2.12,2.26,3.8,4.42,1.2,2.83,2.03,0.86,1.85,1.94,2.42,3.04,8.88,3.39,2.05,3.49,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.2,2.75,4.55,4.47,0.76,0.9,2.66,7.77,4.95,4.66,3.43,3.6,-999,4.68,0.86,5.34,5.5,6.33,6.13,2.61,5.1,1.55,4.21,1.86,5.43,3.42,4.09,3.24,1.72,5.28,3.8,7.56,4.27,1.84,0.22,2.07,3.26,1.84,4.51,4.15,2.27,2.43,3,3.62,3.71,7.99,4.27,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,3.35,5.45,4.4,3.28,4.65,2.94,2.9,2.31,4.64,6.1,7.46,4.59,-999,5.78,6.44,5.67,2.15,7.92,4.48,3.04,1.53,3.3,1.23,1.48,4.2,3.28,6.74,9.97,6.81,3.98,6.8,5.06,2.3,4.87,2.45,2.45,5.7,3.83,3.08,7.79,3.39,4.67,4.92,5.71,6.03,3.31,6.96,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,4.4,1.4,9.05,5.57,2.54,8.79,3.46,3.16,8.1,3.11,5.73,4.52,-999,3.89,5.57,3.3,3.77,1.68,1.77,3.89,2.06,3.82,5.37,0.48,0.16,3.11,2.13,5.43,7.8,5.14,0.67,1.02,5.69,5.83,1,5.89,3.02,1.43,1.97,6.62,1.36,3.85,1.42,0.61,6.41,2.84,0.42,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,3.1,5.65,2.5,4.87,5.24,3.57,10.56,4.26,6.73,6.89,7.5,3.13,-999,6.45,4.71,3.1,1.82,2.92,4.22,6.74,3.02,3.7,3.82,5.48,2.39,3.12,5.17,4.27,5.01,5.77,5.19,5.68,3.62,2.22,2.49,3.67,7.52,4.46,3.72,8.86,3.45,3.42,7.48,4.4,1.7,7.48,2.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
