SKIPTON CRAVEN HERALD OFFICE (HIGH STREET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD990517,Long,-2.016729,Lat,53.961383,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.15,5.91,6.21,1.91,5.54,1.55,1.22,1.11,4.6,2.41,2.83,0.76,3.95,4.13,1.34,2.31,2.54,5.85,4.23,2.34,2.06,3.65,2.91,1.2,4.36,1.6,2.35,2.03,4.84,1.88,,,,,,,,
February,,,2.89,2.56,3.89,2.52,1.14,1.22,1.14,2.44,0.56,0.11,2.8,4.42,5.77,0.22,0.95,2.41,2.27,1.96,5.66,0.69,1.5,3.55,3.99,1.24,2.33,2.23,2.69,1.61,3.2,3.41,,,,,,,,
March,,,4.55,1.33,2.55,1.67,3.03,1.36,3.28,1.89,3.23,2.49,0.85,1.4,3.34,3.02,4.72,4.51,2.45,1.62,0.63,3,1.8,5,1.97,2.68,2.51,3.01,3.51,3.23,0.53,1.82,,,,,,,,
April,,,4.59,2.52,1.39,2.05,2.79,1.26,1.96,2.06,0.87,1.5,1.22,0.74,1.94,1.98,2.2,2.28,2.23,2.96,1.56,2.34,1.79,1.3,2.34,1.98,1.34,1.09,1.81,3.03,2.35,1.35,,,,,,,,
May,,,1.75,0.68,2.12,2.83,3.2,2,1.08,1.94,2.08,1.72,3.26,1.98,1.61,0.37,0.49,1.64,2.54,2.9,1.67,0.97,2.44,2.78,2.4,0.94,3.35,2.83,2.43,2.05,2.37,1.67,,,,,,,,
June,,,4.25,3.19,0.32,2.66,1.64,0.08,1.58,0.82,2.3,0.92,3.67,3.13,2.44,2.69,3.49,3.86,2.36,1.08,3.8,1.03,1.12,1.32,2.09,2.68,2.27,5.58,2.29,3.31,2.37,2.81,,,,,,,,
July,,,4.06,3.27,6.23,1.24,2.97,1.54,4.98,3.16,3.16,3.22,1.34,2.97,2.79,5.97,2.44,1.23,1.13,1.94,2.39,1.82,2.75,4.13,1.31,1.11,1.95,2.86,3.89,4.12,3.63,0.71,,,,,,,,
August,,,3.35,2.44,0.95,1.21,1.45,1.26,3.38,5.88,6.86,5.79,3.96,3.23,3.42,3.5,1.91,5.12,3.58,1.66,4.98,1.59,2.28,4.02,3.82,3.59,3.39,3.53,2.28,3.26,4.56,1.87,,,,,,,,
September,,,2.31,6.55,2.57,3.33,2.88,4.77,0.71,1.71,1.35,2.54,2.17,3.28,0.21,1.38,5.89,3.86,0.66,5.25,1.43,1.21,1.16,4.18,0.56,2.49,0.62,0.58,4.1,3.7,0.26,3.21,,,,,,,,
October,,,4.32,6.31,2.48,5.38,4.75,2.29,0.74,4.57,3.28,3.61,5.47,4.04,3.66,3.69,3.42,1.91,3.64,2.62,4.78,2.42,3.35,8.92,1.19,2.74,5.52,4.09,1.77,3.32,2.56,3.03,,,,,,,,
November,,,5.79,3.74,1.36,2.79,2.71,2.34,7.05,1.73,4.59,3.71,1.35,2.15,2.38,3.47,1.16,2.88,3.51,1.92,3.94,4.35,2.5,2.25,3.03,3.58,4.23,2.09,2.59,1.06,4.76,3.81,,,,,,,,
December,,,3.64,3.09,5.66,1.66,4.85,2.45,2.01,1.85,0.8,6.23,1.08,3.07,3.21,4.12,4.05,4.43,4.11,3.85,3.41,4.71,3.03,2.26,2.42,0.83,2.7,4.13,2.21,5.1,2.94,5.38,,,,,,,,
Total,,,45.65,41.59,35.73,29.25,36.95,22.12,29.13,29.16,33.68,34.25,30,31.17,34.72,34.54,32.06,36.44,31.02,33.61,38.48,26.47,25.78,43.36,28.03,25.06,34.57,33.62,31.92,35.82,34.37,30.95,,,,,,,,
