TOTNES-WALROND-HOUSE,,,,,,,,,,,,,
Grid ref,SX803604,Long,-3.6862,Lat,50.43158,Elevation,40,ft,,,,,
Station no,1695,,,,,,,,,,,,
,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932
January,,,,,,7.88,7.13,5.55,10.82,3.87,9.06,4.42,8.41
February,,,,,,6.73,4.28,3.87,5.42,4.96,2.18,3.74,0.02
March,,,,,,0.38,1.08,5.58,5.11,0.56,3.47,2.49,3.27
April,,,,,,3.78,2.37,2.66,4,0.64,3.87,3.52,3.75
May,,,,,,4.6,1.53,0.53,1.69,4.16,2.43,3.1,4.09
June,,,,,,0,4.38,3.01,2.8,3.16,0.58,5.04,4.25
July,,,,,,3.83,0.78,3.91,2.53,1.81,2.5,5.34,2.92
August,,,,,,3.41,2.06,4.84,2.37,3.22,5.53,4.76,1.8
September,,,,,,3.6,0.8,6.28,2.3,0.53,5.61,1.28,6.42
October,,,,,,5.54,3.86,3.98,8.64,6.93,5.44,0.94,10.13
November,,,,,,4.12,10.89,4.92,8.59,17.86,10.49,9.91,3.53
December,,,,,,7.62,0.58,6.5,6.52,15.14,5.21,2.74,4.16
Total,,,,,,51.49,39.74,51.63,60.79,62.84,56.37,47.28,52.75
,,,,,,,,,,,,,
Walrond House 61 Fore St,,,,,,,,,,,,,
1925 Feb in brackets Possibly for snow,,,,,,,,,,,,,
1933 Gauge moved about 600yds E from Walrond House to 21 Bridgetown Totnes,,,,,,,,,,,,,
