CORFE-CASTLE-SMEDMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY923788 ,Long,-2.10942,Lat,50.60933,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,1.68,0.75,3.01,2.16,0.95,1.58,3.74,,,,,,,,,2.51,5.03,,,,,
February,,,,,,,,,0.73,1.48,0.94,0.21,0.6,3.25,3.04,,,,,,,,,1.55,5.22,,,,,
March,,,,,,,,,4.07,2.01,1.34,2.55,0.56,0.65,1.07,,,,,,,,,2.7,1.59,,,,,
April,,,,,,,,,1.22,1.76,3.15,1.08,0.58,0.06,1.67,,,,,,,,,3.34,1.15,,,,,
May,,,,,,,,,1.72,1.09,2.4,1.36,0.68,0.59,1.64,,,,,,,,,2.28,2.78,,,,,
June,,,,,,,,,2.41,1.11,2.86,2.46,0.72,0.83,1.03,,,,,,,,,2.56,0.93,,,,,
July,,,,,,,,,2.72,1.76,3.26,1.9,2.21,3.84,4.43,,,,,,,,,2.42,1.98,,,,,
August,,,,,,,,,1.79,2.41,2.67,4.65,2.02,0.04,1.16,,,,,,,,,3.28,3.87,,,,,
September,,,,,,,,,1.89,0.63,1.34,1.67,2.4,1.79,2.14,,,,,,,,,2.34,2.44,,,,,
October,,,,,,,,,2.49,5.1,0.77,7.31,3.81,3.13,2.03,,,,,,,,,7.72,2.71,,,,,
November,,,,,,,,,5.47,1.51,2.27,3.99,2.78,1.09,7.14,,,,,,,,,1.4,1.48,,,,,
December,,,,,,,,,1.67,2.5,2.58,4.23,1.74,2.99,1.92,,,,,,,,,2.58,3.2,,,,,
Total,,,,,,,,,27.86,22.11,26.59,33.57,19.05,19.84,31.01,,,,,,,,,34.68,32.38,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large estate so NGR chosen to match altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888 Correct total written below given value so Total updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894 June Dorset Club Tables give value of 1.83 with year total of 31.81 The evidence of neighbouring stations is conflicting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890-91 annual values queried in survey 1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892-94 annual values rejected from survey 1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903-04 annual values queried in survey 1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
