"CORFE CASTLE SMEDMORE HOUSE",,,,,,,,,,,,
Grid ref,SY924789,Long,-2.108768,Lat,50.609764,,,,,,,
Station no,RR4389,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.51,5.03,,,,,,,
February,,,,1.55,5.22,,,,,,,
March,,,,2.70,1.59,,,,,,,
April,,,,3.34,1.15,,,,,,,
May,,,,2.28,2.78,,,,,,,
June,,,,2.56,0.93,,,,,,,
July,,,,2.42,1.98,,,,,,,
August,,,,3.28,3.87,,,,,,,
September,,,,2.34,2.44,,,,,,,
October,,,,7.72,2.71,,,,,,,
November,,,,1.40,1.48,,,,,,,
December,,,,2.58,3.20,,,,,,,
Total,,,,34.68,32.38,,,,,,,
Calc annual,0.00,0.00,0.00,34.68,32.38,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
