INVERGARRY (ABERCHALDER LODGE),,,,,,,,,,,,,,,,,,,,
Grid ref,NH343033,Long,-4.736305,Lat,57.090766,Elevation ,180,ft,,,,,,,,,,,,
Station no,5701/6/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.83,6.91,8.07,,7.64,,,,,,4.99,3.53,5.33,2.02,3.98,7.99,3.91,3.07,4.75
February,,2.33,6.24,3.01,9.26,3.65,,,,,,2.61,2.55,2.86,4.26,2.54,3.68,2.44,2.44,3.9
March,1.25,1.08,4.56,2.93,5.44,2.24,,,,,,1.99,1.79,2.71,1.21,2.27,4.09,1.08,2.66,0.85
April,1.75,1.54,6.62,3.16,1.09,3.08,,,,,,2.24,3.35,2.2,1.67,1.86,1.5,3.04,5.69,4.64
May,1.49,2.18,2.67,5.27,4.01,1.12,,,,,0.81,2.34,4.22,4.42,2.06,3.99,0.84,5.26,1.16,1.07
June,0.79,1.62,3.66,3.87,5.32,5.69,,,,,2.4,2.19,1.19,2.38,2.33,1.96,1.89,2.15,4.38,2.11
July,3.72,2.42,2.53,1.08,1.67,5.69,,,,,2.96,2.85,4.37,2.37,0.46,4.71,4.27,3.39,5.08,2.7
August,5.22,5.32,4.07,2.17,1.09,3.57,,,,,4.98,5.03,3.74,3.99,0.78,5.4,5.05,4.07,2.52,4.57
September,1.52,6.73,3.96,3.69,4.29,5.47,,,,,3.32,4.43,4.48,5.98,5.03,6.12,3.26,3.24,1.37,2.69
October,4.65,9.2,9.29,4.79,2.5,0.21,,,,,2.95,6.97,1.84,9.17,4.84,4.67,5.26,5.94,7.16,0.89
November,5.87,2.6,3.87,6.78,0.78,3.61,,,,,5.62,2.42,9.87,5.84,0.87,3.79,2.25,1.59,8.42,4.49
December,6.97,9,3.29,5.71,6.14,5.54,,,,,8,4.71,5.02,10.21,8.07,10.41,7.53,4.39,9.15,5.61
Total,,47.85,57.67,50.53,,47.51,,,,,,42.77,45.95,57.46,33.6,51.7,47.61,40.5,53.1,38.27
,,,,,,,,,,,,,,,,,,,,
1941 JF+T est Deleted,,,,,,,,,,,,,,,,,,,,
1945 J+T Est Deleted,,,,,,,,,,,,,,,,,,,,
1958 np Low,,,,,,,,,,,,,,,,,,,,
1960 JAS+t Est Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5701/6/5,,,,,,,,,,,,,,,,,,,
Midas,14635,,,,,,,,,,,,,,,,,,,
Hyd stn,799900,,,,,,,,,,,,,,,,,,,
