"CHIPPERKYLE",,,,,,,,,,,,
Grid ref,NX783687,Long,-3.903997,Lat,54.997951,,,,,,,
Station no,5023/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.32,4.72,1.89,4.74,4.27,3.26,6.22,5.96,2.19,5.34,,
February,3.23,0.80,1.43,4.95,1.81,0.93,3.64,3.78,1.83,5.86,,
March,3.82,3.05,0.51,3.67,2.68,2.18,3.48,1.06,3.27,1.66,,
April,2.43,2.94,3.31,1.71,2.25,1.68,2.30,1.33,3.28,5.16,,
May,2.48,3.28,2.27,4.92,4.27,2.30,3.41,4.25,0.87,2.08,,
June,1.62,3.09,2.04,3.99,3.70,3.58,1.52,4.61,3.00,2.72,,
July,2.36,3.28,6.83,4.56,2.27,6.15,4.29,4.29,3.31,5.30,,
August,8.93,4.67,3.59,4.50,1.91,9.41,3.80,4.92,0.73,5.58,,
September,5.94,1.90,5.79,6.35,3.01,5.25,4.15,5.54,1.94,4.42,,
October,0.60,5.52,3.35,10.06,3.26,3.57,5.40,4.87,5.51,5.53,,
November,9.03,2.78,6.70,11.41,3.64,2.01,3.18,2.52,9.67,9.25,,
December,8.05,4.54,4.00,5.76,6.48,5.94,5.85,4.32,9.80,4.23,,
Total,54.81,40.57,41.71,66.62,39.55,46.26,47.24,47.45,45.40,57.13,,
Calc annual,54.81,40.57,41.71,66.62,39.55,46.26,47.24,47.45,45.40,57.13,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
