CHIPPERKYLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX783687,Long,-3.903997,Lat,54.997951,Elevation,310,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5023/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.91,6.44,4.4,5.41,1.53,5.28,5.55,5.83,5.99,3.36,1.05,6.95,7.39,4.64,3.5,6.31,5.68,7.95,3.1,2.87,6.32,4.72,1.89,4.74,4.27,3.26,6.22,5.96,2.19,5.34
February,2.94,0,2.44,0.3,5.3,2.3,4.86,2.43,6.01,1.58,3.54,1.82,3.68,1.27,5.47,2.56,0.41,4.45,3.9,4.1,3.23,0.8,1.43,4.95,1.81,0.93,3.64,3.78,1.83,5.86
March,1.06,2.92,2.48,2.46,1.23,3.02,1.77,3.07,3.91,4.87,2.82,4.02,1.18,0.3,3.19,4.13,5.13,3.94,2.17,4.59,3.82,3.05,0.51,3.67,2.68,2.18,3.48,1.06,3.27,1.66
April,2.2,4.04,1.87,3.26,3.46,0.96,3.36,0.43,1.7,2.02,1.95,2.6,2.7,2.68,1.98,1.18,6.94,2.44,4.08,4.28,2.43,2.94,3.31,1.71,2.25,1.68,2.3,1.33,3.28,5.16
May,2.81,3.93,4.21,3.04,0.63,1.36,1.83,6.2,0.46,1.34,3.49,4.27,5,2.28,4.99,1.1,5.85,1.76,1.24,1.84,2.48,3.28,2.27,4.92,4.27,2.3,3.41,4.25,0.87,2.08
June,5.72,1.39,3.99,2.17,5.05,4.33,3.4,6.35,3,0.61,0.6,0.87,4.14,3.43,3.32,4.25,3.78,4.44,1.07,3.58,1.62,3.09,2.04,3.99,3.7,3.58,1.52,4.61,3,2.72
July,4.94,3.1,3.85,3.1,2.11,5.11,4.88,6.57,6.09,4.81,2.43,3.17,2.61,4.89,4.25,3.73,4.86,3.12,3.11,4.86,2.36,3.28,6.83,4.56,2.27,6.15,4.29,4.29,3.31,5.3
August,2.47,2.21,2.37,4.83,2.81,3.24,2.64,2.03,1.87,0.96,5.9,4.37,5.54,3.96,1.18,3.34,0.15,7.03,3.51,7.36,8.93,4.67,3.59,4.5,1.91,9.41,3.8,4.92,0.73,5.58
September,0.98,4.81,0.77,6.02,5.72,5.41,2.92,5.24,2.52,3.92,3.09,4.84,3.3,6.12,4.73,7.71,4.09,6.34,2.09,10.71,5.94,1.9,5.79,6.35,3.01,5.25,4.15,5.54,1.94,4.42
October,2.82,5.88,2.92,5.5,8.43,4.66,4.88,9.07,3.47,5.27,5.85,5.35,9.8,5.06,5.23,0.71,1.55,4.94,6.89,3.23,0.6,5.52,3.35,10.06,3.26,3.57,5.4,4.87,5.51,5.53
November,7.48,4.15,1.97,0.64,7.04,4.94,1.2,9.06,7.61,5.09,3.57,1.45,3.06,6.72,0.2,8.18,6.18,6.05,6.1,3.82,9.03,2.78,6.7,11.41,3.64,2.01,3.18,2.52,9.67,9.25
December,3.62,7.88,1.15,8.02,2.74,6.32,3.5,4.53,2.03,5.43,2.64,7.8,2.66,5.59,3.72,5.36,3.24,6.79,8.62,2.32,8.05,4.54,4,5.76,6.48,5.94,5.85,4.32,9.8,4.23
Total,41.95,46.75,32.42,44.75,46.05,46.93,40.79,60.81,44.66,39.26,36.93,47.51,51.06,46.94,41.76,48.56,47.86,59.25,45.88,53.56,54.81,40.57,41.71,66.62,39.55,46.26,47.24,47.45,45.4,57.13
