"NEWCASTLE, PORTLAND ROAD",,,,,,,,,,,,,,,,,,,,
Grid ref,NZ239657,Long,-1.628058,Lat,54.985328,Elevation,240,ft,,,,,,,,,,,,
Station no,RR4821,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.64,0.97,1.01,1.72,3.05,1.76,,1.4,1.38,,1.85,1,1.19,1.74,1.28,4.92,,,,
February,1.57,3.59,0.94,1.7,1.22,0.83,,0.4,1.15,,1.46,0.02,2.41,2.62,2.71,0.92,,,,
March,1.56,2.89,1.34,2.17,1.84,1.58,,1.77,4.58,,1.95,2.31,1.23,1.73,0.63,2.05,,,,
April,1.96,1.28,3.26,1.37,2,1.27,,0.89,1.77,,0.59,1.77,1.11,0.35,0.89,1.17,,,,
May,1.35,2.07,1.78,2.53,0.96,2.49,,1.44,0.69,,2.02,1.6,2.86,1.89,2.37,0.62,,,,
June,1.22,2.04,3.78,2.85,1.01,0.76,,0.28,2.02,,2.82,0.36,2.89,0.67,3.17,2.42,,,,
July,4.94,3.68,2.74,4.47,4.25,1.56,,1.06,5.52,,1.76,5.75,1.35,3.16,2.02,4.69,,,,
August,1.23,5.94,2.91,3.53,1.05,3.84,,2.01,1.73,,6.21,3.41,4.16,2.06,2.92,2.69,,,,
September,3.92,4.8,2.21,4.85,1.45,2.66,,5.07,1.39,,1.93,2.41,3.7,1.68,0.84,0.44,,,,
October,5.42,3.87,2.87,1.72,1.34,4.36,,2,0.8,,1.53,1.6,4.93,0.8,4.82,4.08,,,,
November,2.23,1.17,2.66,1.22,1.64,2.06,,3.08,4.53,,2.29,2.05,1.36,3.04,0.61,2.08,,,,
December,3.79,2.57,4.64,2.37,1.15,0.8,,2.76,0.73,,1.89,3.4,1.37,1.11,1.04,1.83,,,,
Total,29.83,34.87,30.14,30.5,20.96,23.97,,22.16,26.29,,26.3,25.68,28.56,20.85,23.3,27.91,,,,
,,,,,,,,,,,,,,,,,,,,
1887 Aug,,,,,,,,,,,,,,,,,,,,
