"NEWCASTLE CLAREMONT ROAD",,,,,,,,,,,,
Grid ref,NZ239657,Long,-1.628058,Lat,54.985328,,,,,,,
Station no,RR4821,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.19,1.60,0.84,2.43,,,,,,,,
February,5.75,1.43,,1.26,,,,,,,,
March,1.92,1.67,,1.11,,,,,,,,
April,1.35,0.94,1.27,1.50,,,,,,,,
May,1.37,2.43,2.35,2.37,,,,,,,,
June,5.57,1.26,1.84,2.94,,,,,,,,
July,1.51,3.58,2.99,4.62,,,,,,,,
August,6.06,1.90,2.54,1.96,,,,,,,,
September,1.00,1.02,0.52,2.25,,,,,,,,
October,6.25,2.09,2.49,8.44,,,,,,,,
November,3.01,4.82,1.10,2.15,,,,,,,,
December,1.91,2.63,2.91,1.88,,,,,,,,
Total,38.89,25.37,,32.91,,,,,,,,
Calc annual,38.89,25.37,18.85,32.91,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
