RUSTINGTON-BRACONDALE-NURSERY,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ053025,Long,-0.5067438,Lat,50.812489,Elevation,30,ft,,,,,,,,,,,,,
Station no,474/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,
January,,,,,,,,3.62,5.72,3.02,3.62,,,,,,,,,,
February,,,,,,,,0.58,1.68,3.09,3.22,,,,,,,,,,
March,,,,,,,,0.46,1.58,3.21,2.8,,,,,,,,,,
April,,,,,,,,0.16,2.69,1.08,1.31,,,,,,,,,,
May,,,,,,,,1.7,1.58,1.09,1.71,,,,,,,,,,
June,,,,,,,,0.31,0.87,0.83,1.7,,,,,,,,,,
July,,,,,,,,1.96,2.27,2.63,2.09,,,,,,,,,,
August,,,,,,,,2.11,2.25,0,3.5,,,,,,,,,,
September,,,,,,,,2.38,1.14,2.17,0.3,,,,,,,,,,
October,,,,,,,,3.92,5.47,4.1,0.93,,,,,,,,,,
November,,,,,,,,4.18,8.07,8.59,2.9,,,,,,,,,,
December,,,,,,,,3.48,1.97,2.51,1.68,,,,,,,,,,
Total,,,,,,,,24.86,35.29,32.32,25.76,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Site  previously numbered 443 prior to 1938,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1940 Aug: dash=zero,,,,,,,,,,,,,,,,,,,,,
