RUSTINGTON-BRACONDALE-NURSERY,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ053025,Long,-0.5067438,Lat,50.812489,Elevation,30,ft,,,,,,,,,,,,,
Station no,443,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.43,4.55,4.08,2.17,4.56,1.13,3.48,2.5,3.51,2.13,2.04,0.93,4.66,5.54,,,
February,,,,,0.37,4.05,2.61,3.63,1.7,1.64,1.58,1.81,0.16,2.78,0.02,3.87,3.18,5.57,,,
March,,,,,1.52,0.45,0.53,3.18,1.36,0.09,1.68,0.71,1.13,2.41,2.73,0.95,1.78,4.08,,,
April,,,,,2.52,3.11,2.65,1.83,2.22,0.55,1.34,3.06,2.33,1.16,2.52,3.23,1.85,2.26,,,
May,,,,,3.37,3.52,2.65,0.79,1.15,2.23,1.65,2.56,3.5,3.27,0.46,1.47,0.92,2.06,,,
June,,,,,2.89,0.04,3.21,3.22,2.34,2.68,0.86,1.64,0.83,2.21,0.98,1.23,3.67,1.1,,,
July,,,,,2.24,3.72,2.73,2.67,2.2,1.7,1.18,2.92,4.04,0.98,0.92,0.26,4.59,1.5,,,
August,,,,,2.66,2.76,1.26,3.44,2.02,2.63,3.9,2.7,0.84,0.94,2.07,4,0.54,1.52,,,
September,,,,,2.97,2.52,0.29,5.37,0.63,0.8,1.11,2.15,3.18,3.67,1.68,4,2.12,2.27,,,
October,,,,,3.5,2.93,2.49,1.81,7.12,3.94,3.55,0.53,7.1,1.79,1.58,5.35,2.11,2.53,,,
November,,,,,2.46,3.14,7.77,2.78,3.27,7.55,5.6,3.62,1.65,1.25,4.72,7.09,4.62,2.07,,,
December,,,,,4.54,4.38,0.26,4.43,3.58,6.91,2.93,1.18,1.33,0.95,9.36,4.86,1.85,2.98,,,
Total,,,,,31.47,35.17,30.53,35.32,32.15,31.85,28.86,25.38,29.6,23.54,29.08,37.24,31.89,33.48,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Site renumbered in 1938 to 474/5,,,,,,,,,,,,,,,,,,,,,
