ATHERTON CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD666029,Long,-2.505238,Lat,53.5217,Elevation,165,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2825/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.5,6,2.3,1.85,4,4.61,4.77,2.9,3.45,2.79,5.62,2.49,2.21,3.77,4.18,1.79,3.45,2.82,4.8,2.49,4.49,3.39,5.55
February,,,,,,,,1.14,4.17,2.35,3.39,1.95,2.45,1.52,3.75,4.32,0.57,1.84,2.06,4.44,2.47,1.27,1.36,3.16,2.34,0.71,2.71,6.25,0.47,2.42
March,,,,,,,,1.08,2,2.73,2.92,3.6,1.09,0.59,1.76,0.7,4.06,1.02,2.55,1.84,4.9,1.95,1.67,2.68,2.05,1.57,3.09,1.82,1.79,1.77
April,,,,,,,,0.32,2.76,0.87,1.31,1.61,1.78,2.61,2.01,0.84,2.98,1.21,2.88,3.38,2.14,3.76,2.51,0.62,2.17,3.84,0.64,1.05,2.82,2.05
May,,,,,,,,3.97,1.11,1.53,1.81,3.79,2.74,2.09,3.42,0.78,2.31,1.7,4.24,1.09,2.71,2.17,1.89,2.26,2.96,1.1,1.34,4.16,2.25,2.68
June,,,,,,,,3.39,3.18,1.01,0.21,0.48,2.43,2.19,4.35,3.35,2.01,3.73,0.79,2.62,1.16,3.24,2.09,3.34,3.51,2.02,2.37,5.65,3.34,1.55
July,,,,,,,,3.35,6,3.86,2.23,3.71,1.94,3.09,2.24,2.95,2.35,2.17,3.14,4.23,3.39,2.26,5.53,5.36,0.92,5.72,5.33,4.34,3.89,5.99
August,,,,,,,,3.82,1.92,1.31,6.74,3.85,4.46,3.23,1.67,4.48,0.25,3.83,4.8,7.71,5.62,3.41,3.85,5.84,1.13,10.51,5.39,4.2,0.39,6.15
September,,,,,,,,1.94,1.22,3.31,0.69,1.92,4.65,4.61,2.22,6.22,2.36,1.88,1.11,5.92,2.86,3.66,3.68,3.97,3.41,3.3,5.81,4.68,0.21,3.84
October,,,,,,,,8.08,2.53,3.55,4.39,5.68,3.16,3.28,4.63,0.85,0.46,2.22,4.49,3.56,0.88,4.34,1.92,6.74,2.53,2.85,3.99,4.01,3.56,5.72
November,,,,,,,,4.12,5.52,6.95,2.79,1.13,3.1,7,0.45,4.03,3.41,1.64,5.16,5.66,8.43,2.72,3.84,6.24,1.76,1.65,1.65,1.65,4.97,6.34
December,,,,,,,,4.04,3.91,3.47,1.69,3.34,2.23,2.99,1.99,2.6,2.4,2.48,5.25,3.87,6.67,3.25,1.46,5.36,5.26,3.52,3.66,4.57,6.16,4.04
Total,,,,,,,,39.75,40.32,33.24,30.02,35.06,34.64,37.97,31.39,34.57,25.95,29.34,38.96,46.53,45,36.21,31.59,49.02,30.86,41.59,38.47,46.87,33.24,48.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12427,ALTHAM ,01/01/1957,31/12/1962,,,,,,,,,,,,,,,,,,,,,,,,,,,
