"ERITH (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TQ523778,Long,0.191761,Lat,51.478660,,,,,,,
Station no,414,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.23,1.52,0.81,1.13,2.14,3.11,0.95,1.33,1.79,1.49,,
February,5.66,0.85,1.35,1.72,1.29,0.01,2.14,1.97,0.04,1.46,,
March,2.28,2.50,0.47,1.47,1.01,1.23,0.78,1.02,1.33,1.15,,
April,2.83,0.80,2.16,0.16,0.24,0.90,0.20,1.68,1.91,0.30,,
May,2.30,1.55,1.41,1.65,4.17,0.60,0.80,1.61,1.19,2.06,,
June,0.89,1.25,1.38,2.82,1.85,1.31,0.64,4.96,0.44,1.80,,
July,2.02,0.76,3.23,2.45,0.04,5.08,4.05,1.89,1.41,2.19,,
August,2.66,2.74,1.38,2.93,0.89,4.64,1.76,4.11,2.35,2.95,,
September,2.38,3.16,2.21,1.57,2.04,2.37,2.21,5.72,0.07,4.74,,
October,0.78,2.00,3.29,1.41,3.28,1.15,1.47,2.55,1.88,5.64,,
November,3.59,3.24,0.74,3.58,0.39,0.74,2.44,1.71,2.76,3.34,,
December,1.71,1.83,0.63,1.18,1.64,2.30,1.70,2.50,3.12,2.08,,
Total,29.33,22.20,19.06,22.07,18.98,23.44,19.14,31.05,18.29,29.20,,
Calc annual,29.33,22.20,19.06,22.07,18.98,23.44,19.14,31.05,18.29,29.20,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
