NEWCASTLE (GOSFORTH),,,,,,,,,,,,
Grid ref,NZ245675,Long,-1.618529,Lat,55.001474,,,,,,,
Station no,3563/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.94,1.96,0.73,2.45,2.20,,,,,,,
February,1.90,0.56,1.56,1.73,2.68,,,,,,,
March,3.89,1.22,0.10,1.16,1.78,,,,,,,
April,1.88,0.85,2.37,0.57,0.63,,,,,,,
May,4.18,1.52,1.84,3.58,1.55,,,,,,,
June,2.05,1.64,2.11,2.06,2.85,,,,,,,
July,1.90,1.01,3.02,1.53,0.94,,,,,,,
August,4.18,1.98,3.95,5.53,1.06,,,,,,,
September,1.08,3.16,1.77,2.99,1.04,,,,,,,
October,0.77,3.28,1.31,4.18,1.37,,,,,,,
November,5.66,3.45,0.87,3.26,1.32,,,,,,,
December,1.56,3.45,0.77,1.88,3.16,,,,,,,
Total,30.99,24.08,20.40,30.92,20.58,,,,,,,
Calc annual,30.99,24.08,20.40,30.92,20.58,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
