HEADLEY-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ207527,Long,-0.27087,Lat,51.26115,Elevation,629,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,125/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.32,3.58,6.48,3.04,2.37,3.1,6.64,2.37,2.21,3.37,2.56,4.58,1.34,1.13,3.76,2.34,1.43,1.51,3.2,4.45,2.2,3.39,3.29,3.51
February,,,,,,,5.14,0.81,1.93,2.67,3.06,0.65,1.76,0.89,2.36,2.54,1.68,2.06,1.52,5.65,7.15,0.85,1.45,2.35,1.7,0.36,4.36,2.52,0.09,2.36
March,,,,,,,3.73,0.37,1.75,3.5,3.81,2.16,0.44,0.17,1.47,1.58,6.66,1.01,1.12,1.76,4.2,3.02,0.48,2.64,1.46,0.9,1.53,2.02,2.82,2.01
April,,,,,,,3.43,0.23,3.54,2.26,2.19,1.92,1.28,1.75,1.49,2.77,2.54,2.04,2.11,2.6,3.04,1.64,2.68,0.38,0.29,1.92,0.28,1,2.93,0.96
May,,,,,,,2.72,2.07,1.95,1.67,1.9,4.18,3.04,0.78,2.12,2.95,1.83,2.22,2.53,1.6,2.59,2.05,2.09,2.25,4.43,0.32,1.82,2.68,0.93,1.89
June,,,,,,,2.05,0.7,1.81,0.44,2.11,0.12,2.19,1.96,2.37,2.4,2.61,3.58,0.83,1.39,1.03,1.34,1.79,4.62,2.19,3.1,1,4.24,0.91,2.25
July,,,,,,4.46,1.98,2.57,3.4,2.65,3.26,2.52,1.79,2.11,3.45,1.91,1.28,1.56,1.23,3.72,2.88,0.8,3.93,3.72,1.47,5.42,3.4,1.95,1.04,3.5
August,,,,,,1.27,1.82,3.39,2.97,0.12,4.61,3.59,1.53,2.86,1.85,5.5,0.51,5.43,1.27,2.91,4.4,3.41,1.69,3.28,1.15,3.4,3.79,2.8,1.7,4.12
September,,,,,,3.21,2.12,2.46,1.87,1.54,0.22,2.44,2.53,2.73,2.77,4.4,1.56,2.17,0.53,3.48,3.11,3.17,3.86,2.46,2.11,3.12,3.32,5.56,0.17,3.17
October,,,,,,2.07,3.02,3.5,7.22,3.8,1.25,3.94,4.04,4.36,4.5,1.6,0.33,2.2,7.85,0.46,1.22,3.46,4.21,3.06,4.18,1.22,2.16,3.6,3.22,7.03
November,,,,,,5.02,2.36,4.76,6.07,8.51,3.75,2.21,1.88,5.35,0.33,5.97,1.25,2.04,3.64,7.09,8.22,3.46,1.74,5.8,1.66,0.99,3.22,2.42,3.49,5.57
December,,,,,,4.45,4.24,4.36,2.3,1.7,2.56,3.08,2.23,3.23,4.22,3.34,2.86,4.95,1.7,2.1,3.32,2.76,0.75,2.18,2.98,4.52,2.52,3.69,6.18,3.75
Total,,,,,,,38.93,28.8,41.29,31.9,31.09,29.91,29.35,28.56,29.14,38.33,25.67,33.84,25.67,33.89,44.92,28.3,26.1,34.25,26.82,29.72,29.6,35.87,26.77,40.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Jan 25 Inspection Gauge sound Measure certified Site unorthodox on top of reservoir Some protection afforded by trees on all sides No alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
