WAKEFIELD (SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE346203,Long,-1.477678,Lat,53.678026,Elevation,78,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.04,2.43,3.17,2.29,3.72,2.13,3,1.53,2.95,2.75,2.14,1.94,,5.24,0.71,1.91,1.95,2.22,0.5,1.77,1.36,3.28,1.04,2.54,2.52,4.74
February,,,,,1.85,2.66,3.73,0.75,1.33,2.43,2.89,1.23,0.84,1.16,1.69,3.11,,1.16,1.12,3.81,2.93,0.46,1.56,2.17,2.27,1.1,2.2,3.94,0.08,1.61
March,,,,,0.7,1.36,2.11,0.2,1.77,1.88,3.38,1.76,0.58,0.16,0.45,1.2,,0.97,1.03,1.56,2.83,1.64,0.72,1.48,2.17,0.77,1.46,1.89,0.97,1.69
April,,,,1.98,4.39,1.17,2.69,0.06,1.13,1.86,1.8,1.12,1.27,1.77,1.4,1.58,,1.61,1.94,2.83,0.79,0.75,1.79,0.23,0.53,2.16,0.21,0.47,3.54,0.66
May,,,,0.79,0.95,1.45,2.83,2.77,2.45,0.4,1.14,2.51,2.21,1.82,4.28,2.78,,1.07,1.64,2.18,4.05,1.38,1.68,2.64,2.83,0.54,1.62,2.61,0.97,1.2
June,,,,1.56,1.89,3.99,1.63,1.2,1.68,0.67,0.13,1.24,1.25,1.39,2.47,1.97,,2.12,0.5,0.89,0.72,1.21,1.74,1.03,1.5,2.56,1.53,3.69,1.7,0.9
July,,,,2.09,0.69,3.68,2.54,2.82,6.09,3.74,1.93,1.58,1.23,2.05,1.68,3.1,1.73,1.1,3.03,1.75,3.2,1.18,2.26,1.55,0.59,3.58,2.49,4.3,1.08,2.5
August,,,,0.91,1.89,1.49,0.35,3.44,0.87,0.3,2.55,2.75,2.45,3.77,2.72,3.85,0.31,3.49,1.92,3.38,4.47,1.4,2.68,5.29,0.42,5.02,4.67,3.06,0.93,4.22
September,,,,1.8,3.75,2.05,1.3,4.64,0.29,1.76,0.51,1.11,2.82,2.76,0.96,3.9,1.05,1.09,1.3,2.44,2.39,1.5,1.3,1.79,1.17,2.45,3.43,2.76,0.11,3.32
October,,,,1.57,4.55,2.01,2.64,2.95,2.37,3.32,2.64,1.99,1.5,2.44,3.17,0.98,0.72,1.22,3.3,1.21,0.96,3.4,1.42,3.12,1.62,1.06,1.06,1.43,1.52,6.16
November,,,,2.12,4.86,2.79,1.99,3.19,3.18,4.66,2.74,1.31,1.71,3.64,0.39,3.92,1.69,0.85,4.09,4.03,6.39,1.29,1.98,4.04,1.62,0.61,1.62,0.81,3.23,4.92
December,,,,4.06,2.17,1.16,1.96,3,1.46,2.64,0.34,1.16,1.14,1.91,1.31,2.24,2.44,2.04,2.42,1.08,2.1,1.72,1.21,2.53,2.37,2.3,2.72,3.66,2.94,2.93
Total,,,,,28.73,26.24,26.94,27.31,26.34,25.79,23.05,19.29,19.95,25.62,22.66,30.57,,21.96,23,27.07,32.78,18.15,18.84,27.64,18.45,25.43,24.05,31.16,19.59,34.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge started recording this site April 1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1-page-043.csv split across two records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
