MORTIMER-OAKFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU671662,Long,-1.0370263,Lat,51.390883,Elevation,200,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,1.97,2.79,1.23,3.26,1.55,2.59,2.32,2.05,0.67,4.81,4.91,2.65,4.77,2.57,2.88,3.43,5.26,1.37,1.33,2.19,1.63,,,
February,,,,,,,,3.48,2.02,0.68,0.93,1.97,0.15,3.93,0.15,2.52,2.04,4.5,0.54,1.23,2.77,2.33,0.48,1.31,1.21,1.85,1.93,1.5,,,
March,,,,,,,,2.42,1.97,0.08,1.09,0.22,2.03,2.86,2.32,0.64,2.06,3.84,0.21,1.25,2.44,3.18,2.64,0.53,0.16,0.55,1.39,4.87,,,
April,,,,,,,,1.56,1.28,0.93,2.18,3.46,2.91,1.19,1.46,3.43,1.61,1.87,0.07,2.81,1.52,1.31,1.45,0.94,1.24,1.3,1.96,,,,
May,,,,,,,,0.99,1.19,1.19,2.2,3.51,4.74,1.78,0.75,1.3,0.88,3.76,1.86,1.32,0.98,1.69,3.16,2.02,0.72,1.66,3.09,,,,
June,,,,,,,,2.9,2.05,1.24,0.44,1.47,1.16,1.64,1.44,4.1,4.2,1.54,0.64,1.31,0.9,1.89,0.44,0.74,1.94,2.12,3.04,,,,
July,,,,,,,,4.03,1.67,1.03,2.38,4.22,2.55,1.41,1.75,0.69,3.8,1.06,1.99,3.47,2.29,5.64,1.7,1.78,1.76,2.51,2.15,,,,
August,,,,,,,0.73,3.11,1.93,0.79,2.84,4.26,2.33,0.53,2.77,2.79,0.71,0.75,1.73,1.77,0.18,4.63,1.56,1.38,1.55,1.43,3.72,,,,
September,,,,,,,0.68,5.49,1.55,0.41,3.04,1.91,2.76,3.33,2.02,3.86,3.29,2.24,0.9,0.76,1.11,0.42,1.28,1.37,2.39,2.42,3.92,,,,
October,,,,,,,2.38,1.53,4.06,3.16,1.36,0.57,4.22,1.89,1.52,3.62,1.7,3.07,3.16,5.74,3.24,1.57,3.86,4.05,3.98,3.81,1.18,,,,
November,,,,,,,5.33,2.95,2.19,7.23,4.88,3.58,1.6,0.91,1.78,4.41,3.75,1.04,3.87,5.04,7.16,3.05,1.92,1.53,4.29,0.19,5.52,,,,
December,,,,,,,0.44,3.27,2.48,6.94,3.15,0.97,0.79,0.59,7.1,3.11,2.48,2.89,3.02,1.44,1.39,1.82,3.52,1.62,2.05,3.17,2.62,,,,
Total,,,,,,,,33.7,25.18,24.91,27.75,27.69,27.83,22.38,25.11,31.14,31.33,31.47,20.64,30.91,26.55,30.41,25.44,22.53,22.66,22.34,32.71,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Oakfield. Altitudes match. Gauge seem to have moved in April 1947 about 1km NNE to where a relative (son?) of the first observer took over the readings. Same station no. used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
