"MAIDENHALL (STANTON NOOK)",,,,,,,,,,,,
Grid ref,NZ138886,Long,-1.784783,Lat,55.191486,,,,,,,
Station no,3586/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.09,0.76,2.46,2.36,4.51,2.80,2.21,2.05,4.84,,
February,,0.73,1.51,1.77,1.77,2.44,3.24,3.20,0.37,2.33,,
March,,2.03,0.27,1.40,2.13,0.80,2.50,4.14,0.71,2.27,,
April,,1.26,2.76,0.77,0.49,0.96,0.59,2.38,2.01,1.05,,
May,,1.85,1.96,3.68,1.64,0.37,2.00,3.07,0.35,2.59,,
June,,1.67,2.05,1.50,1.30,2.45,1.76,4.32,1.49,1.60,,
July,,2.36,2.93,2.54,1.40,3.09,3.82,3.69,2.30,4.65,,
August,,3.78,3.55,4.95,1.05,8.00,3.98,2.26,0.38,2.80,,
September,,3.93,1.78,3.78,1.25,3.67,3.15,2.72,0.82,2.74,,
October,0.92,3.49,1.34,5.51,2.19,2.60,2.75,1.63,2.03,7.07,,
November,7.15,3.53,1.34,3.32,1.59,0.74,1.98,0.71,4.93,3.69,,
December,1.48,3.88,1.09,2.15,4.20,2.25,2.00,4.55,4.68,2.10,,
Total,,30.60,21.34,33.83,21.37,31.88,30.57,34.88,22.12,37.73,,
Calc annual,9.55,30.60,21.34,33.83,21.37,31.88,30.57,34.88,22.12,37.73,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
