COLYTON-COLYFORD-(GREEN-HAYES),,,,,,,,,,,,,,,,,,,,
Grid ref,SY251925,Long,-3.0616,Lat,50.7278,Elevation,20,ft,,,,,,,,,,,,
Station no,1813/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.67,5.74,4.8,8.52,2.4,3.31,3.83,3.82,,,
February,,,,,,,,,,3.78,3.44,0.3,1.33,0.64,2.69,2.52,2.49,,,
March,,,,,,,,,,2.69,2.89,2.36,1.66,0.09,1.06,1.55,8.83,,,
April,,,,,,,,,,2.99,1.82,1.85,1.14,2,0.87,2.07,2.48,,,
May,,,,,,,,,,2.36,1.97,5.44,2.51,0.57,4.24,5.43,3.61,,,
June,,,,,,,,,,0.29,1.31,0.48,1.89,1.8,3.2,3.36,2.95,,,
July,,,,,,,,,,1.91,1.22,1.54,2.83,3.14,2.3,1.63,,,,
August,,,,,,,,,,0.01,3.92,3.7,3.13,2.91,1.79,4.33,,,,
September,,,,,,,,,,0.35,1.52,2.96,3.13,1.4,2.84,5.76,,,,
October,,,,,,,,,4.74,1.83,1.52,4.16,4.18,3.82,5.07,2.46,,,,
November,,,,,,,,,6.07,7.69,2.39,1.09,2.49,6.45,2,5.15,,,,
December,,,,,,,,,1.96,3.33,2.54,4.17,4.08,2.76,5.71,4.23,,,,
Total,,,,,,,,,,29.9,30.28,32.85,36.89,27.98,35.08,42.32,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved from Buckerell,,,,,,,,,,,,,,,,,,,,
Observer in 1939 census lived in Green Hayes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Not printed as low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer moved to Exeter in July 1947. Nothing says when in 1947 gauge was moved,,,,,,,,,,,,,,,,,,,,
