HERRIARD-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU669453,Long,-1.04379,Lat,51.20303,Elevation,557,ft,,,,,,,,,,,,
Station no,RR8492,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.99,2.07,0.92,2.87,1.56,3.44,4.41,1.01,4.68,,,,
February,,,,,,,2.74,1.46,1.25,0.57,4.35,1.91,2.77,1.1,5.06,5.6,,,,
March,,,,,,,1.58,1.04,3.84,4.03,1.19,2.15,4.4,3.68,4.88,1,,,,
April,,,,,,,1.08,4.68,3.93,1.81,2.3,2.31,0.07,3.24,1.48,1.58,,,,
May,,,,,,,1.87,2.13,2.73,1.38,2.49,2.21,1.48,2.76,1.85,4.66,,,,
June,,,,,,,2.49,2.77,0.77,5.43,4.64,2.01,4.27,0.71,0.58,,,,,
July,,,,,,,0.62,1.77,2.09,3.4,1.83,0.21,1.94,1.75,2.57,,,,,
August,,,,,,,1.61,2.79,4.08,1.97,2.4,1.01,6.2,1.19,2.46,,,,,
September,,,,,,,1.21,0.64,1.9,3.27,0.31,1.32,2.67,3.03,1.21,,,,,
October,,,,,,,6.45,6.28,1.78,6.95,4.89,4.25,3.44,4.12,2.23,,,,,
November,,,,,,,4.7,2.57,1,0.82,3.57,4.33,2.74,3.54,3.5,,,,,
December,,,,,,,2.43,4.57,2.59,4.1,5.83,8.18,5.18,1.56,8.89,,,,,
Total,,,,,,,,31.69,28.03,34.65,36.67,31.45,38.6,31.09,35.72,,,,,
,,,,,,,,,,,,,,,,,,,,
Note says On OS maps Herriard Vicarage is named Elderfield House,,,,,,,,,,,,,,,,,,,,
1907 Mar 1 Gauge moved 2yds E,,,,,,,,,,,,,,,,,,,,
