KENCOT-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP254049,Long,-1.6335306,Lat,51.742232,Elevation,290,ft,,,,,,,,,,,,,
Station no,RR6478,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,0.67,3.69,2,1.61,3.85,3.64,2.82,2.85,2.39,,,,,,,,
February,,,,,2.64,3.69,4.66,1.15,1.52,2.62,0.83,0.49,3.22,,,,,,,,
March,,,,3.32,4.52,1.14,4.64,2.57,0.86,4.12,2.14,1.3,2.43,,,,,,,,
April,,,,3.35,1.05,1.13,0.93,1.88,2.62,2.9,4.92,1.02,3.15,,,,,,,,
May,,,,2.68,1.2,3.19,2.34,2.95,1.86,0.49,2.07,1.48,0.78,,,,,,,,
June,,,,1.07,2.48,1.38,2.64,2.47,1.02,1.52,3.07,0.51,1.13,,,,,,,,
July,,,,1.42,3.54,4.16,1.06,2.6,3.28,2.23,4.23,0.44,4.58,,,,,,,,
August,,,,0.71,2.75,2.56,3.38,5.01,1.34,2.18,0.94,0.83,4.38,,,,,,,,
September,,,,2.7,1.24,1.81,1.29,1.78,5.01,1.79,1.81,1.82,2.12,,,,,,,,
October,,,,3.49,2.23,3.77,4.53,3.6,1.52,1.4,2.15,1.35,0.82,,,,,,,,
November,,,,3.04,5.21,1.99,3,0.83,1.88,0.99,0.76,2.06,,,,,,,,,
December,,,,1.47,5.79,5.21,3.38,1.2,2.77,4.46,2.37,1.53,,,,,,,,,
Total,,,,,33.32,33.72,33.85,27.65,27.53,28.34,28.11,15.68,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1922 Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,
