SUNLAWSHILL HAWICK,,,,,,,,,,
Grid ref,NT713288,Long,-2.4564716,Lat,55.552046,Elevation,360,ft,,
Station no,RR8555,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,1.7,2.5,,,,,,
February,,,1.5,0.3,,,,,,
March,,,4.55,0.55,,,,,,
April,,,1.3,1.1,,,,,,
May,,,3.8,0.8,,,,,,
June,,,3.2,3.5,,,,,,
July,,,1.8,0.1,,,,,,
August,,,3.5,3.5,,,,,,
September,,,1.6,2.4,,,,,,
October,,,3,2.6,,,,,,
November,,,1,1.7,,,,,,
December,,,1.9,1.6,,,,,,
Total,,,28.85,20.65,,,,,,
