NORWICH MIX,,,,,,,,,,
Grid ref,TG219099,Long,1.2791,Lat,52.6421,Elevation,11,ft,,
Station no,RR506,,,,,,,,,
,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,,1.9,2.01,1.7,0.6,1.56,2.91,1.4,2.11,
February,,2.21,1,1.6,1.45,1.7,3.21,0.25,1.5,
March,,0.8,2.11,2.21,1.8,3.01,1,1.3,2.01,
April,,1.4,2.91,2.01,0.8,1.2,0.7,3.11,1.6,
May,,0.9,2.21,0.3,1.4,0.7,2.81,2.71,2.11,
June,,1.4,1.6,1.6,0.8,2.51,3.21,4.31,1.2,
July,,2.41,1.2,0.6,0.8,1,2.41,2.81,4.31,
August,,1.1,2.61,1.4,2.21,3.51,1.8,3.21,3.01,
September,,1.2,3.01,3.01,6.32,0.15,1.7,6.82,4.21,
October,,2.31,1.9,1.2,7.22,4.81,3.01,2.86,5.21,
November,,2.91,1.5,2.81,6.27,4.41,5.61,4.11,2.21,
December,,2.11,3.41,2.01,2.01,3.31,3.71,4.21,3.81,
Total,,20.65,25.47,20.45,31.68,27.87,32.08,37.1,33.29,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Note: Measured in wine pints, converted.",,,,,,,,,,
