NORWICH MIX,,,,,,,,,,
Grid ref,TG219099,Long,1.2791,Lat,52.6421,Elevation,11,ft,,
Station no,RR506,,,,,,,,,
,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,,2.38,2.5,2.13,0.75,1.94,3.6,1.75,2.63,
February,,2.75,1.25,2,1.88,2.12,4,0.31,1.88,
March,,1,2.63,2.75,2.25,3.75,1.25,1.63,2.5,
April,,1.75,3.62,2.5,1,1.5,0.87,3.87,2,
May,,1.12,2.75,0.38,1.75,0.76,3.5,3.38,2.62,
June,,1.75,2.12,2,1,3.12,4,5.38,1.5,
July,,3,1.5,0.75,1,1.44,3,3.5,5.38,
August,,1.37,3.25,1.75,2.75,4.38,2.25,4,3.75,
September,,1.5,3.75,3.75,7.87,0.19,2.13,8.5,5.25,
October,,2.9,2.38,1.5,9,6,3.75,3.56,6.5,
November,,3.62,1.87,3.63,7.87,5.5,7,5.13,2.75,
December,,2.62,4.25,2.5,2.5,4.12,4.63,5.25,4.75,
Total,,25.76,31.87,25.64,39.62,34.82,39.98,46.26,41.51,
