KENLEY-SHORD-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ325594,Long,-0.10004536,Lat,51.318286,Elevation,450,ft.,,,,,,,,,,,,
Station no,RR8407,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.22,5.13,1.36,1.76,1.15,2.72,1.62,3.07,4.38,0.69,5.06,,,,
February,,,,,,0.95,2.89,1.96,1.36,0.69,4.4,1.61,2.39,1.06,4.78,5.83,,,,
March,,,,,,4.19,1.38,1.04,3.21,4.1,1.54,2.18,4.35,2.92,5.01,0.66,,,,
April,,,,,,1.69,0.62,3.2,2.72,2.13,2.17,2.4,0.07,3.18,1.04,1.49,,,,
May,,,,,,1.25,1.56,1.38,2.24,1.6,2.34,1.65,1.17,1.63,1.61,2.94,,,,
June,,,,,,5.56,2.43,2.5,1.91,2.88,2.44,2.3,3.38,0.27,1.08,0.75,,,,
July,,,,,,1.72,0.67,1.58,3.71,3.57,2.73,0.29,2.03,2.41,2.33,4.13,,,,
August,,,,,,2.99,1.83,2.32,4.26,2.49,3.26,0.63,5.62,1.97,1.89,3.34,,,,
September,,,,,,2.51,1.86,0.67,1.47,3.71,1.23,1.16,3.92,1.53,0.83,1.96,,,,
October,,,,,,1.28,4.51,3.98,2.65,5.3,3.14,3.74,2.94,4.45,2.07,2.41,,,,
November,,,,,,4.81,5.73,2.91,0.91,1.11,3.58,4.92,2.51,2.92,4.15,2.95,,,,
December,,,,,,0.66,1.89,3.78,3.06,4.01,4.91,7.44,3.58,1.31,9.07,6.34,,,,
Total,,,,,,28.83,30.5,26.68,29.26,32.74,34.46,29.94,35.03,28.03,34.55,37.86,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Shord Hill. Altitudes match,,,,,,,,,,,,,,,,,,,,
