PLYMPTON GOODAMOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX581585,Long,-3.998,Lat,50.4097,Elevation,580,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,12.46,2.27,3.11,3.85,1.52,3.22,7.56,5.55,5.22,5.82,3.56,6.09,7.35,4.23,2.37,6.12,5.04,9.93,11.38,7.45,8.27,0.32,7.5,6.55,2.81,5.56,8.02,2.76,6.61,6.92,4.24,7.58,8.44,,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,3.38,5.17,1.68,5.32,5.84,3.82,4.64,3.94,4.32,3.6,6.2,4.22,2.81,3.16,9.72,4.44,5.28,1.86,3.08,4.25,1.83,3.64,4.42,2.98,3.37,4.44,2.56,3.96,1.96,2.59,3.51,5.58,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.44,5.85,5.24,1.03,2.87,3.73,0.21,4.8,6.13,2.61,5.68,1.84,3.9,4.92,4.92,1.26,0.98,9.32,2.01,1.95,1.48,3.84,3.03,5.9,2.85,4.64,5.56,6.96,8.05,3.56,2.93,3.91,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.59,2.06,2.42,2.06,1.79,2.42,0.68,2.55,0.67,5.12,1.06,4.1,4.35,4.06,5.51,5.08,8.76,2.72,1.9,5.29,0.6,1.12,7.67,6.92,6.58,5.58,2.3,0.58,5.12,2.83,1.67,0.98,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.94,2.82,0.19,1.95,2.76,2.36,3.83,5.94,2.86,5.96,0.11,2.13,3.6,4.17,1.65,5.16,3.41,2.71,3.4,1.99,4.79,5.42,4.48,4.81,4.18,1.45,6.68,0.97,3.36,3.5,1.32,3.74,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,3.28,2.18,2.95,2.57,4.11,5.33,2.41,3.2,2.66,5.99,2.53,4.76,2.74,5.08,6.96,1.12,2.14,3.31,7.95,6.75,4.64,5.57,4.11,2.62,1.48,0.93,11.42,4.6,4.32,6.48,2.79,1.26,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.1,2.5,3.44,2.32,2.02,9.73,4.01,3.11,3.6,2.27,2.19,4.21,5.28,3.94,6.9,4.02,4.44,4.98,0.86,5.73,3.46,3.99,2.48,3.29,4.74,1.58,4.16,8.2,5.39,1.86,1.63,4.46,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,4.96,2.04,1.4,3.3,2.76,3.2,2.68,7.9,4.54,6.46,3.67,2.16,4.12,2.35,5.98,3.63,4.22,3.76,6.6,4.86,2.4,2.81,4.16,1.08,3.11,5.98,9.16,3.45,3.67,5.2,1.1,7.36,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.95,7.33,4.06,3.08,2.1,7.82,5.19,9.36,4.49,1.15,1.69,6.68,1.69,3.19,2.82,8.71,5.81,2.12,3.73,4.44,2.03,1.04,6.84,3.85,3.95,7.74,4.02,5.92,5.68,6.98,5.23,0.08,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.24,9.6,4.28,4.27,5.02,6.72,1.5,9.14,2.73,7.84,5,3.66,9.41,9.66,4.57,5.06,4.06,4.74,8.46,8.62,4.24,8.1,3.84,7.09,4.02,6.4,4.2,3.81,10.64,8.33,2.65,10.36,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.62,5.97,8.72,3.01,7.94,7.92,11.04,8.24,13.96,7.29,10.3,6.96,6.4,4.25,3.92,4.6,7.13,2.55,15.54,5.98,4.79,1.42,1.52,2.48,3.99,5.56,5.28,8.21,2.1,4.7,6.51,6.8,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
