PURLEY-GREEN-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ296621,Long,-0.14045,Lat,51.34361,Elevation,341,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.47,3.56,1.97,2.97,1.81,2.07,1.26,5.62,,2.63,5.43,,,3.05,6.23,,,,,,,
February,,,,,,,,,,0.61,0.69,2.05,0.47,2.95,0.4,3.53,2.43,5.01,0.94,1.62,1.97,,0.66,2.08,,,,,,,
March,,,,,,,,,,0.09,1.68,0.41,1.66,3.33,2.61,0.34,1.42,3.91,0.4,1.41,3.41,,2.01,0.28,,,,,,,
April,,,,,,,,,,1.17,1.72,4.33,2.47,0.73,2.91,3.25,1.88,2.57,0.22,2.97,1.97,,1.73,1.02,,,,,,,
May,,,,,,,,,,1.85,3.27,3.04,4.41,2.92,0.65,1.51,0.39,2.66,2.14,1.98,1.04,,3.53,2.84,,,,,,,
June,,,,,,,,,,1.14,0.65,2.03,1.14,0.71,0.98,3.11,2.84,1.82,0.54,1.08,0.35,1.33,0.71,1.3,,,,,,,
July,,,,,,,,,,1.8,2.41,2.77,2.42,1.8,2.23,1.34,4.19,0.68,1.73,2.5,3.02,3.33,2.23,1.61,,,,,,,
August,,,,,,,,,,1.72,3.31,4.29,1.15,0.78,2.21,2.77,1.24,2.58,3.06,2.88,0.04,3.64,2,1.24,,,,,,,
September,,,,,,,,,,0.14,3.71,2.07,1.94,2.88,1.54,3.9,3.31,2.66,2.56,1.85,1.28,0.52,2.17,1.64,,,,,,,
October,,,,,,,,,5.38,3.73,2.15,0.83,5.18,2.1,1.98,3.74,2.13,3.62,2.89,6.29,2.75,0.93,3.96,3.15,,,,,,,
November,,,,,,,,,2.52,6.68,4.48,3.11,1.11,1.25,2.7,5.14,4.31,1.95,3.95,4.93,7.98,3.01,2.11,1.41,,,,,,,
December,,,,,,,,,2.91,6.99,2.34,0.66,0.66,0.54,7.38,4.24,3.44,,3.63,1.7,,2.05,3.24,2.17,,,,,,,
Total,,,,,,,,,,27.39,29.97,27.56,25.58,21.8,27.66,34.13,33.2,,24.69,34.64,,,27.4,24.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinton 18 Green Lane Purley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 8.30 am in summer and winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Jan Dec Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Gaps in record due to war conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Dec Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 House and property bombed Terminated for duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
