MASHAM MOOR - BENJY GUIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE119754,Long,-1.819,Lat,54.174,Elevation,1412,ft,,,,,,,,,,,,,,,,,,,
Station no,RR3006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915
January,,7.67,2.40,2.80,2.12,7.04,3.90,2.80,2.20,3.86,10.11,4.96,3.31,1.90,7.23,3.52,,5.12,0.96,3.18,1.83,6.59,1.57,1.66,4.17,2.99,5.15
February,,1.86,0.78,4.30,6.06,12.59,1.66,0.67,1.88,4.95,3.87,3.60,3.09,2.11,6.08,5.96,,2.37,2.78,3.53,1.65,4.68,4.88,3.19,3.53,3.64,5.73
March,,3.82,2.98,2.13,0.87,7.12,3.77,7.16,10.74,2.61,1.62,2.90,3.10,2.21,11.06,3.88,3.40,4.10,3.67,3.90,4.51,1.27,2.04,4.43,5.97,2.66,0.96
April,,2.37,3.45,1.92,0.56,3.68,3.37,2.12,2.86,6.32,5.47,2.86,4.31,2.20,1.73,4.50,1.86,0.29,2.11,1.44,3.21,2.33,1.65,0.35,4.50,1.45,1.31
May,,2.71,3.89,4.55,2.61,2.35,0.26,0.94,0.76,2.16,4.99,2.10,0.77,2.23,5.83,4.34,2.09,4.92,3.88,4.19,2.89,2.09,1.31,3.10,3.01,2.40,
June,,2.26,1.78,4.58,1.88,4.07,1.98,4.32,4.55,3.63,0.80,3.40,2.69,2.09,2.69,2.26,1.70,1.79,6.97,2.55,2.97,1.83,3.13,7.98,1.83,3.92,
July,,5.26,3.55,3.40,4.96,3.23,6.61,2.19,1.75,1.58,4.40,1.80,3.35,2.72,3.79,1.77,0.54,0.46,2.05,4.21,3.38,2.98,0.55,3.55,1.97,2.20,
August,,5.66,6.42,5.40,4.45,3.48,3.68,2.42,4.95,4.99,1.14,6.40,2.16,2.68,7.48,3.27,3.46,3.24,2.70,1.04,4.70,5.20,3.29,9.52,1.36,1.33,
September,,2.91,5.99,2.91,2.97,1.79,2.04,9.42,4.76,0.76,5.80,1.60,2.17,2.33,5.82,1.89,2.70,0.22,0.73,5.44,1.81,0.78,2.77,2.17,2.29,1.75,
October,7.49,1.56,6.15,9.64,3.24,7.05,4.48,5.13,2.85,7.19,2.84,5.20,2.55,5.11,9.46,2.62,2.47,3.72,6.04,1.60,6.34,4.73,4.07,4.07,3.85,2.84,
November,1.78,5.27,4.97,2.54,2.74,5.37,6.21,2.42,2.63,5.24,5.03,4.60,4.35,2.50,1.93,7.02,6.31,4.48,3.82,4.54,1.01,3.33,5.91,3.15,3.87,6.31,
December,2.17,2.00,7.57,1.78,6.88,4.09,5.45,6.75,10.14,6.08,3.85,7.10,4.55,8.50,4.68,2.71,4.39,3.42,6.82,2.18,4.12,4.64,7.14,4.49,2.05,9.12,
Total,,43.35,49.93,45.95,39.34,61.86,43.41,46.34,50.07,49.37,49.92,46.52,36.40,36.58,67.78,43.74,,34.13,42.53,37.80,38.42,40.45,38.31,47.66,38.40,40.61,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/033,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/153,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/151,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/243,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge was replaced in February 1905.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge is marked on the old OS Map.,,,,,,,,,,,,,,,,,,,,,,,,,,,
