MUIRKIRK GLENBUCK,,,,,,,,,,,,
Grid ref,NS753290,Long,-3.977599,Lat,55.538731,,,,,,,
Station no,RR8460,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.20,4.20,3.00,5.50,4.70,2.30,5.10,4.10,5.50,5.50,,
February,3.00,1.20,-999.00,7.80,3.10,3.50,4.10,3.50,5.60,4.50,,
March,0.50,2.20,-999.00,8.40,2.30,6.00,3.60,4.50,6.00,4.20,,
April,4.00,3.63,2.00,1.40,6.20,2.70,2.20,3.80,1.80,3.40,,
May,3.50,1.12,1.10,3.10,3.20,2.10,5.20,4.00,2.00,1.80,,
June,2.50,1.10,0.20,1.30,1.80,2.20,1.70,4.00,2.20,2.00,,
July,3.75,0.25,4.50,3.10,2.80,3.00,3.00,2.60,3.20,6.70,,
August,3.90,5.75,,6.10,5.00,5.50,6.00,6.00,3.90,3.50,,
September,4.00,2.50,-999.00,3.00,2.70,3.30,0.70,1.10,6.10,3.10,,
October,6.20,3.90,1.20,9.80,2.40,4.00,7.00,10.10,0.80,8.10,,
November,5.25,7.90,1.30,5.00,4.20,4.20,6.00,3.40,4.20,,,
December,6.50,1.10,5.20,3.70,3.50,5.00,4.20,5.10,3.00,,,
Total,49.30,34.85,26.60,58.20,41.90,43.80,48.80,52.20,44.30,,,
Calc annual,49.30,34.85,18.50,58.20,41.90,43.80,48.80,52.20,44.30,42.80,,
Difference,0.00,0.00,8.10,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,,
