"SAXLINGHAM NETHERGATE",,,,,,,,,,,,
Grid ref,TM231971,Long,1.287419,Lat,52.526064,,,,,,,
Station no,RR1518,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.80,0.42,1.17,1.33,1.54,0.66,3.58,1.32,0.80,0.74,,
February,2.92,0.96,0.66,0.17,2.48,1.46,2.58,1.51,1.88,0.56,,
March,1.00,2.13,1.17,1.88,1.46,1.89,1.69,1.20,2.27,2.54,,
April,1.92,2.43,1.15,2.26,0.77,2.15,0.69,3.70,2.20,1.42,,
May,1.38,1.00,3.27,1.43,1.84,1.23,1.88,2.44,1.42,1.29,,
June,2.69,1.72,2.03,2.63,0.99,2.42,2.15,2.71,0.78,2.96,,
July,1.47,1.30,1.77,5.00,1.98,0.64,1.07,1.68,2.53,2.35,,
August,3.61,1.31,3.45,3.38,1.91,3.61,1.21,1.31,2.70,1.74,,
September,0.81,0.73,1.22,3.10,1.62,2.19,1.32,0.39,1.62,1.36,,
October,1.97,1.72,1.83,4.47,0.87,3.45,3.54,3.08,1.21,3.47,,
November,1.88,2.03,1.30,1.45,1.51,1.60,3.93,2.36,1.68,1.16,,
December,2.78,4.00,1.39,1.13,1.96,0.93,2.13,2.86,1.38,4.49,,
Total,25.23,19.75,20.41,28.23,18.93,22.23,25.77,24.56,20.47,24.08,,
Calc annual,25.23,19.75,20.41,28.23,18.93,22.23,25.77,24.56,20.47,24.08,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
