SAXLINGHAM-NETHERGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM231971,Long,1.287419,Lat,52.526064,Elevation,83,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.21,1.69,0.83,1.02,0.96,,,,,1.56,2.75,1.19,2,0.97,1.88,2.8,0.42,1.17,1.33,1.54,0.66,3.58,1.32,0.8,0.74,2.47,1.93,2.31,2.07,1.61,3.09,1.25,1.83,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.42,0.24,0.58,1.55,1.19,,,,,1.29,0.37,0.46,2.12,0.98,1.02,2.92,0.96,0.66,0.17,2.48,1.46,2.58,1.51,1.88,0.56,1.88,1.61,1.17,0.64,1.76,3.07,3.65,1,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.31,0.53,2,2.57,0.48,,,,,0.63,2.05,3.51,2.3,1.94,1.22,1,2.13,1.17,1.88,1.46,1.89,1.69,1.2,2.27,2.54,0.85,2.39,2.38,1.96,3.57,1.92,2.72,2.76,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.2,1.15,1.42,1.45,2.54,,,,,1.76,1.24,1.39,1.75,0.9,3.24,1.92,2.43,1.15,2.26,0.77,2.15,0.69,3.7,2.2,1.42,1.76,1.07,0.33,1.96,0.66,0.82,2.04,1.81,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.4,2.06,2.45,0.93,3.17,,,,,3.61,0.77,0.61,0.92,3.34,2.01,1.38,1,3.27,1.43,1.84,1.23,1.88,2.44,1.42,1.29,3.88,1.1,0.71,1.12,1.39,2.47,2.86,0.51,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.75,0.44,0.22,0.77,1.42,,,,1.25,2.9,0.67,2.19,2.01,4.32,1.06,2.69,1.72,2.03,2.63,0.99,2.42,2.15,2.71,0.78,2.96,2.03,2.8,2.86,1.09,1.35,1.61,2.62,1.7,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.26,3.8,0.11,5.92,,,,,,3.12,3.7,1.06,0.7,1.38,2.37,1.47,1.3,1.77,5,1.98,0.64,1.07,1.68,2.53,2.35,3.89,0.78,2.9,4.36,2.51,4.16,0.86,3.61,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,0.32,3.32,1.3,1.71,,,,,1.21,1.81,4.64,1.53,1.67,1.44,0.69,3.61,1.31,3.45,3.38,1.91,3.61,1.21,1.31,2.7,1.74,1.3,0.4,9.54,0.73,0.82,2.84,2.89,4.92,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.25,4.65,1.76,2.76,1.19,,,,,0.82,1.45,0.62,4.37,3.41,0.2,3.35,0.81,0.73,1.22,3.1,1.62,2.19,1.32,0.39,1.62,1.36,1.77,1.69,2.57,2.43,1.53,1.51,1.39,2.04,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.79,6.1,3.18,2.34,1.33,,,,,1.52,2.64,3.26,2.58,0.84,2.36,2.03,1.97,1.72,1.83,4.47,0.87,3.45,3.54,3.08,1.21,3.47,1.37,2.78,1.78,3.18,2.19,1.72,2.71,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
