DERBY-CHRISTCHURCH-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK349352,Long,-1.4824615,Lat,52.913098,Elevation,265,ft.,,,,,,,,,,,,
Station no,RR4226,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.84,3.86,1.29,2.76,0.32,0.64,4.59,2.52,2.54,1.66,3.8,,,
February,,,,,,,2.53,2.01,1.9,2.96,2.24,4.71,2.11,2.65,1.46,2.03,0.24,,,
March,,,,,,,4.9,2.69,1.19,0.86,1.89,2.23,1.74,1.07,1.39,0.62,2.52,,,
April,,,,,,,2.61,2.32,1.29,2.25,1.88,1.73,3.07,2.24,1.81,2.22,2.07,,,
May,,,,,,,0.88,2.8,5.36,2.93,2.12,1.2,2.19,1.02,1.02,1.96,5.03,,,
June,,,,,,,2.5,1.53,4.27,4.89,3.61,2.4,4.57,4.63,1.39,2.64,1.59,,,
July,,,,,,,1.77,3.14,1.13,2.87,6.18,1.11,2.93,2.26,3.79,0.15,3.86,,,
August,,,,,,,1.48,6.07,7.18,5.4,2.28,4.39,1.94,1.88,2.58,2.65,1.53,,,
September,,,,,,,4.9,3.29,2.54,3.12,3.64,1.92,2.57,4.57,1.69,2.91,1.21,,,
October,,,,,,,2.12,1.89,2.81,1.22,4.53,3.64,5.23,2.66,1.21,6.66,5.4,,,
November,,,,,,,4.15,2.91,2.68,1.25,2.03,2.97,3.86,3.81,1.08,1.95,1.63,,,
December,,,,,,,5.34,2.19,2.37,1.47,3.59,2.27,5.38,1.13,2.81,1.01,2.5,,,
Total,,,,,,,35.02,34.7,34.01,31.98,34.31,29.21,40.18,30.44,22.77,26.46,31.38,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the vicarage that fits the relationship to the churches noted in the records. Altitudes match,,,,,,,,,,,,,,,,,,,,
