FORT WILLIAM (TEVIOT) (SECONDARY SCHOOL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 09299 72978,Long,-5.125387,Lat,56.809104,Elevation,34,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5750/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,17.69,11.48,14.77,7.87,3.22,12.49,16.13,5.93,1.12,0.34,7.17,8.29,12.75,5.32,12.44,8.55,7.95,14.22,9.85,9.73,7.79,6.24,7.99,4.93,7.15,16.09,,,
February,,0.13,5.73,2.85,14.1,3.01,6.53,13.48,15.13,3.79,6.24,2.74,11.22,4.87,14.34,7.12,0.08,8.51,14.11,11.13,5.02,3.76,7.85,4.77,4.24,4.28,5.46,,,
March,,3.74,4.41,4.85,5.3,3.09,1.39,17.38,5.94,6.44,1.96,2.84,6.37,3.56,8.86,4.47,1.92,9.18,4.24,5.69,3.74,5.86,3.04,5.44,1,3.94,8.14,,,
April,,5.78,6.07,5.28,3.16,2.38,2.25,1.79,3.47,3.89,3.74,2.86,9.56,5.28,2.34,3.77,12.44,6.64,12,7.47,6.88,4.39,4.64,3.12,4.42,3.89,3.13,,,
May,,2.95,2.3,5.49,0.93,2.09,3.1,4.7,1.84,2.13,1.18,2.61,3.97,7.64,5.74,1.42,3.52,1.42,4.05,2.87,0.5,2.48,5.81,4.1,3.42,7.68,2.35,,,
June,,0.87,3.35,2.62,6.18,2.51,4.9,9.1,3.26,2.12,1.61,3.78,7.86,6.56,7.18,6.72,6.14,5.53,2.55,5.8,2.96,5.2,1.09,5.22,4,3.41,2.98,,,
July,5.38,8.35,4.09,4.7,3.93,6.06,6.36,6.8,8.19,5.92,6.03,5.54,5.01,2.05,3.03,8.18,4.63,7.05,2.32,7.96,5.52,3.52,6.89,3.51,1.5,5.57,6.11,,,
August,3.46,4.61,7.28,6.68,6.96,4.58,4.2,5.21,3.18,5.38,8.03,9.08,7.03,4.41,3.82,6.44,0.01,8.51,9.08,7.67,7.52,5.92,8.07,5.92,1.71,4.05,6.09,,,
September,1.72,7.86,1.61,9.72,11.66,3.43,9.33,5.34,3.22,5.5,3.78,11.63,5.73,5.13,8.6,9.53,9.32,13.78,4.94,14.85,8.56,6.37,10.58,10.55,9.1,7.79,5.12,,,
October,9.57,11.25,10.52,12.67,15.22,11.12,2.86,14.06,2.41,6.92,7.53,12.22,15.48,7.73,5.02,0.74,5.54,12.59,12.15,11.51,3.63,8.77,5.68,14.62,8.8,9.19,,,,
November,10.55,13.16,3.38,3.12,7.3,5.49,1.08,17.98,11.19,9.93,6.83,3.04,6.39,8.5,0.72,5.78,13.98,7.47,8.47,6.29,10.12,4.27,15.83,10.61,2.62,7.96,,,,
December,11.32,12.55,2.27,8.51,4.6,17.67,3.7,8.93,3.56,12.15,8.5,14.14,5.96,9.1,6.54,7.9,3.59,9.73,18,3.29,15.26,8.58,9.76,16.33,11.99,16.38,,,,
Total,,88.94,62.49,81.26,87.21,64.65,58.19,120.9,67.32,65.29,55.77,77.65,92.87,77.58,71.51,74.51,69.72,98.36,106.13,94.38,79.44,66.91,85.48,92.18,57.73,81.29,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Deleted different Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Deleted different Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Deleted different Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5750/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,691868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
