LEIGHTON-BUZZARD-SHENLEY-HOUSE,,,,,,,,,,
Grid ref,SP922256,Long,-0.66073395,Lat,51.921299,Elevation,288,ft,,
Station no,RR7364,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,0.76,
August,,,,,,,,,4.75,
September,,,,,,,,,1.7,
October,,,,,,,,,3.04,
November,,,,,,,,,4.4,
December,,,,,,,,,0.5,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1878 Jul Gauge moved,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
