BRIGHTON-ASHFORD-ROAD,,,,,,,,,,
Grid ref,TQ312067,Long,-0.13780544,Lat,50.844956,Elevation,315,ft,,
Station no,RR7706,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.87,1.58,3.26,5.52,0.9,,,,,
February,3.9,1.81,2.92,1.2,4.07,,,,,
March,1.9,2.49,4.51,2.8,,0.95,,,,
April,2.21,1.85,0.01,3.32,,1.74,,,,
May,2.26,0.83,1.34,2.09,,4.16,,,,
June,3.3,2.26,3.4,0.69,,0.75,,,,
July,2.61,0.5,1,4.57,,4.86,,,,
August,2.99,0.49,6.49,2.63,,1.89,,,,
September,0.19,1.92,3.12,2.17,,2.62,,,,
October,3.24,5.45,4.06,4.9,,3.91,,,,
November,5.8,6.81,2.56,4.88,,3.92,,,,
December,3.38,6.52,4.71,1.85,,10.35,,,,
Total,34.65,32.51,37.38,36.62,,44.42,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1914 Mar estimated,,,,,,,,,,
1915 Jan Feb estimated,,,,,,,,,,
,,,,,,,,,,
"Gauge moved 1914 Mar-1915 Feb but returned to near original position, although not same house.",,,,,,,,,,
