WORTH-PRIORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ317342,Long,-0.120759,Lat,51.091998,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,526/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.06,6.01,6.64,4.09,5.88,2.31,,,,,,,3.13,5.99,1.18,1.29,3.64,2.95,,,,,,,,
February,,,,,5.02,2.47,5.68,0.93,1.88,2.59,,,,,,,2.49,1.71,1.53,5.96,6.85,0.86,,,,,,,,
March,,,,,0.42,1.8,4.1,0.55,1.29,3.93,,,,,,,6.82,0.98,1.03,2.02,4.29,3.08,,,,,,,,
April,,,,,3.66,2.58,3.17,0.1,2.41,1.49,,,,,,,1.92,1.5,1.75,2.05,2.78,2.09,,,,,,,,
May,,,,,1.78,2.18,2.33,2.57,3.23,1.54,,,,,,,1.62,3.3,1.87,1.47,3.08,1.72,,,,,,,,
June,,,,,3.2,3.22,1.31,0.69,1.86,0.11,,,,,,,2.92,3.36,0.95,1.42,2.02,1.2,,,,,,,,
July,,,,,1.03,4.51,1.18,2.54,2.41,2.7,,,,,,,2.16,1.25,0.44,3.06,2.99,0.84,,,,,,,,
August,,,,,4.39,0.57,1.79,1.45,2.47,0.13,,,,,,,0.4,4.24,1.73,,5.66,3.25,,,,,,,,
September,,,,,4.99,2.26,2.53,3.42,1.05,1.25,,,,,,,1.67,2.4,1.11,,3.11,3.5,,,,,,,,
October,,,,,4.95,1.87,3.02,3.8,6.06,,,,,,,,0.57,1.97,9.82,0.42,1.62,3.36,,,,,,,,
November,,,,,7.24,5.01,2.51,4.2,6.63,,,,,,,,1.29,1.74,3.49,,6,4.41,,,,,,,,
December,,,,,5.08,3.39,4.77,4.63,1.99,,,,,,,,2.67,4.46,2,,2.99,2.59,,,,,,,,
Total,,,,,42.82,35.87,39.03,28.97,37.16,,,,,,,,27.66,32.9,26.9,,45.03,29.85,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_04_pt1-page-321 not used as contains all duplicate values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Aug Sep Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
