"WORTH PRIORY",,,,,,,,,,,,
Grid ref,TQ317342,Long,-0.120759,Lat,51.091998,,,,,,,
Station no,526/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.64,2.95,,,,,,,,,,
February,6.85,0.86,,,,,,,,,,
March,4.29,3.08,,,,,,,,,,
April,2.78,2.09,,,,,,,,,,
May,3.08,1.72,,,,,,,,,,
June,2.02,1.20,,,,,,,,,,
July,2.99,0.84,,,,,,,,,,
August,5.66,3.25,,,,,,,,,,
September,3.11,3.50,,,,,,,,,,
October,1.62,3.36,,,,,,,,,,
November,6.00,4.41,,,,,,,,,,
December,2.99,2.59,,,,,,,,,,
Total,45.03,29.85,,,,,,,,,,
Calc annual,45.03,29.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
