HALTON-CAMP,,,,,,,,,,,,,,,,,,,,
Grid ref,SP881101,Long,-0.72428061,Lat,51.782637,Elevation,544,ft,,,,,,,,,,,,
Station no,986/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.53,4.81,3.33,5.59,2.39,2.51,,,,,,,,,
February,,,,,,2.8,4.1,0.73,1.45,2.27,,,,,,,,,,
March,,,,,,1.53,3.71,0.38,1.45,2.49,2.82,,,,,,,,,
April,,,,,,1.56,3.18,0.04,2.76,1.84,2.34,,,,,,,,,
May,,,,,,0.62,3.36,2.05,1.79,1.51,2.1,,,,,,,,,
June,,,,,,3.87,1.98,0.64,1.97,1.11,1.73,,,,,,,,,
July,,,,,,3.64,1.24,1.93,3.56,2.27,,,,,,,,,,
August,,,,,,0.45,2.02,2.59,2.75,0,,,,,,,,,,
September,,,,,,3.59,2.85,1.77,0.73,0.97,,,,,,,,,,
October,,,,,,1.81,3.34,3.27,4.11,3.2,,,,,,,,,,
November,,,,,,3.46,1.53,3.34,4.71,8.1,,,,,,,,,,
December,,,,,,2.65,3.02,3.94,1.74,1.55,,,,,,,,,,
Total,,,,,,30.51,35.14,24.01,32.61,27.7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Aug dash=zero,,,,,,,,,,,,,,,,,,,,
