"ABERTILLERY (THE PARK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4006,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,10.21,7.16,6.11,3.09,7.78,7.87,9.12,6.06,10.46,2.13,12.57,
February,2.34,0.20,7.34,12.13,0.79,10.25,4.25,5.38,5.43,1.50,0.98,
March,6.87,5.80,7.28,2.27,2.70,0.90,1.00,5.32,7.24,0.73,3.90,
April,10.14,1.39,4.07,3.89,5.08,3.77,3.12,1.88,1.81,0.98,5.43,
May,3.99,2.65,1.27,2.97,5.58,6.88,3.93,1.48,0.91,4.76,3.25,
June,6.90,0.10,1.56,0.83,3.00,0.34,2.73,5.49,3.74,3.09,1.92,
July,6.01,2.54,6.78,2.93,7.47,3.10,3.57,6.63,2.38,3.82,5.83,
August,1.23,4.25,4.21,5.43,6.04,6.07,5.31,7.25,5.62,3.65,6.55,
September,2.72,3.17,3.89,4.99,10.33,4.80,1.31,8.94,1.31,1.24,6.04,
October,5.53,2.72,2.07,9.87,6.83,7.99,5.17,6.82,11.03,8.66,7.25,
November,3.86,4.03,2.69,4.66,4.96,2.85,13.76,6.44,8.60,15.57,6.84,
December,9.42,4.49,9.30,4.86,10.94,5.35,0.54,4.48,5.65,14.93,6.12,
Total,69.22,38.50,56.57,57.92,71.50,60.17,53.81,66.17,64.18,61.06,66.68,
Calc annual,69.22,38.50,56.57,57.92,71.50,60.17,53.81,66.17,64.18,61.06,66.68,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
