SLAIDBURN-HAREDEN-FELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD618493,Long,-2.5833794,Lat,53.938396,Elevation,1300,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3075/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.24,5.6,5.53,11.1,6.81,4,1.07,7.97,10.99,11.38,6.35,9.3,6.17,14.19,6.44,7.09,9.06,7.38,4.9,7.92,4.94,6.71,9.78,6.3,3.53,10
February,,,,,12.81,2.7,8.98,4.1,8.06,3,7.8,3.5,5.14,4.95,10.15,8.05,0.99,5.84,4.97,8.92,5.74,3.34,4.01,4.76,1.97,1.69,5.24,10.32,1.99,6.52
March,,,,,2.6,4.69,2.07,2.88,4.07,7.68,5.04,4.28,2.47,1.59,4.53,1.84,9.88,5.05,3.66,4.58,7.14,6.55,2.12,4.09,2.6,2.85,6.74,2.72,4.05,2.32
April,,,,,5.1,1.42,5.22,1.75,4.04,5.09,2.57,3.78,4.61,4.47,4.64,2.48,5.26,2.89,8.41,5.57,5.05,5.87,4.93,2.71,5.98,2.37,1.49,3.45,4.78,5.79
May,,,,,1.36,1.72,2.7,5.34,1.25,1.91,4.81,6.13,5,5.82,5.11,1.8,4.14,3.29,3.67,2.57,2.58,4.32,3.75,3.49,7.44,5.57,3.99,8.67,4.09,3.23
June,,,,,6.92,5.59,4.99,8.33,6.19,1,1.14,1.57,7.89,6.94,7.32,5.5,4.58,9.94,2.53,6.7,1.76,7.41,3.88,7.05,6.48,5.05,3.48,6.14,5.18,2.83
July,,,,,3.95,8.73,4.13,8.03,12.16,8.31,3.68,8.19,7.1,5.95,5.27,8.86,7.04,4.97,5.55,8.45,6.38,5.14,10.9,14.92,2.2,7.53,9.63,5.04,6.48,15.7
August,,,,,3.87,5.82,2.75,6.08,2.76,4.97,10.76,9.24,13.87,4.76,3.91,12.2,0.21,7.21,4.65,13.95,7.18,12.49,9.63,10.47,1.2,17.67,7.77,7.3,1.2,6.8
September,,,,,12.03,7.7,4.9,4.01,3.24,9.93,2.55,8.08,8.62,12.13,6.91,12.32,7.7,9.38,4.38,12.72,7.16,7.05,11.47,12.2,6.06,6.4,12.19,8.63,0.98,5.88
October,,,,,14,8.41,2.89,17.06,2.71,6.62,9.04,13.11,7.27,8.79,7.89,1.11,1.35,5.88,10.06,6.82,2.89,5.66,2.7,18.12,4.92,6.53,11.55,7.48,8.82,4.84
November,,,,,6.46,9.05,2.28,9.12,11.81,9.66,4.26,2.18,6.94,10.94,1.11,11.95,11.47,4.89,8.75,9.13,12.53,3.39,11.46,10.76,3.88,3.2,2.8,3.48,8.3,14.25
December,,,,,4.42,9.09,3.05,7.27,5.8,11.23,7.18,6.11,4.66,7.36,4.9,8.19,6.36,5.72,13.57,3.96,19.3,7.06,3.9,14.58,10.86,7.54,9.1,5.82,15.36,8.95
Total,,,,,77.76,70.52,49.49,85.07,68.9,73.4,59.9,74.14,84.56,85.08,68.09,83.6,65.15,79.25,76.64,90.46,86.77,75.66,73.65,111.07,58.53,73.11,83.76,75.35,64.76,87.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is on Hareden Fell at the stated altitude and close to Birch Bank, mentioned on one of the records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 12272, continues to 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan and Feb 1940 adusted for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
