KINGSBRIDGE-COLLAPIT-CREEK,,,,,,,,,,,,,,,,,,,,
Grid ref,SX732418,Long,-3.77985,Lat,50.26255,Elevation,51,ft,,,,,,,,,,,,
Station no,RR7431,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.6,1.3,1.48,2.24,5.04,1.37,4.18,7.42,1.23,3.45,,,,
February,,,,,,,4.49,1.47,2.12,0.53,6,2.21,3.64,1.04,4.13,6.62,,,,
March,,,,,,,1.75,0.93,3.32,6.2,0.93,3.81,4.78,3.9,6.42,1.11,,,,
April,,,,,,,0.95,5.4,3.15,1.87,2.12,1.59,0.26,3.23,1.28,1.44,,,,
May,,,,,,,3.24,3.81,1.77,0.82,2.58,0.68,2.05,2.36,1.46,3.31,,,,
June,,,,,,,1.45,2.27,0.92,3.2,1.57,1.98,5.26,0.76,1.24,1.97,,,,
July,,,,,,,1.3,1.75,2,2.79,3,0.76,2.8,0.89,3.45,4.34,,,,
August,,,,,,,1.25,2.05,2.91,2.26,3.77,0.82,7.68,1.02,2.44,1.74,,,,
September,,,,,,,1.09,1.71,3,1.52,0.35,2.64,1.34,2.44,3.21,1.59,,,,
October,,,,,,,4.83,9.06,2.14,7.24,7.57,5.45,4.76,2.64,4.08,5.2,,,,
November,,,,,,,3.62,4,1.29,1.51,5.86,4.44,2.58,3.75,4.04,2.87,,,,
December,,,,,,,2.78,7.07,6.43,6.05,7.63,7.94,5.75,2.72,8.26,8.54,,,,
Total,,,,,,,32.35,40.82,30.53,36.23,46.42,33.69,45.08,32.17,41.24,42.18,,,,
,,,,,,,,,,,,,,,,,,,,
1912 Aug 30 Inspection Gauge to be moved New location possibly o/e but no better site available,,,,,,,,,,,,,,,,,,,,
1912 Sept 1 Gauge moved 15ft W,,,,,,,,,,,,,,,,,,,,
