"DERWENT, LOCKERBROOK PLANTATION 68",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2692,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.34,8.64,5.45,5.51,3.39,5.99,5.74,4.31,11.66,2.74,6.20,
February,5.11,0.61,6.41,7.94,2.47,7.93,3.80,1.88,6.72,0.73,1.43,
March,3.81,4.23,3.22,2.48,1.34,2.42,3.00,5.63,3.12,0.73,3.76,
April,6.43,2.64,4.94,3.30,2.71,3.86,2.47,5.85,1.81,1.77,4.66,
May,6.33,2.09,1.29,5.17,5.72,4.59,4.14,1.59,1.31,3.05,2.81,
June,4.61,0.26,2.72,1.24,2.24,0.10,3.33,6.11,4.99,1.57,4.03,
July,6.52,1.50,4.58,4.24,4.80,1.77,3.02,3.06,1.59,3.44,6.93,
August,2.00,6.38,7.12,4.75,6.42,5.11,4.40,4.10,5.25,4.23,5.43,
September,2.43,1.15,4.33,4.98,4.82,4.70,3.06,6.06,0.59,2.18,6.08,
October,2.55,2.85,1.72,4.19,7.23,5.11,5.46,4.89,6.25,5.79,7.04,
November,1.81,2.88,3.50,7.84,3.63,4.19,4.79,5.72,8.97,8.74,5.59,
December,5.01,8.27,5.76,4.96,4.09,5.41,3.88,2.28,4.07,10.49,4.06,
Total,53.95,41.50,51.04,56.60,48.86,51.18,47.09,51.48,56.33,45.46,58.02,
Calc annual,53.95,41.50,51.04,56.60,48.86,51.18,47.09,51.48,56.33,45.46,58.02,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,
