DERWENT-LOCKERBROOK-PLANTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK170895,Long,-1.7457767,Lat,53.402053,Elevation,782,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.57,4.91,4.57,5.49,7.34,8.64,5.45,5.51,3.39,5.99,5.74,4.31,11.66,2.74,6.2,7.8,5.84,2.73,,,,,,,
February,,,,,,6.54,8.87,0.96,5.34,2.59,5.11,0.61,6.41,7.94,2.47,7.93,3.8,1.88,6.72,0.73,1.43,6.88,0.6,5.4,,,,,,,
March,,,,,,2.39,5.8,3.33,2.05,7.5,3.81,4.23,3.22,2.48,1.34,2.42,3,5.63,3.12,0.73,3.76,0.34,3.41,3.37,,,,,,,
April,,,,,,1.92,4.19,2.75,1.77,3.57,6.43,2.64,4.94,3.3,2.71,3.86,2.47,5.85,1.81,1.77,4.66,5.89,6.25,1.78,,,,,,,
May,,,,,,1.53,2.17,1.87,3.82,2.19,6.33,2.09,1.29,5.17,5.72,4.59,4.14,1.59,1.31,3.05,2.81,2.49,4.85,1.78,,,,,,,
June,,,,,,1.49,3.77,2.29,3.01,1.91,4.61,0.26,2.72,1.24,2.24,0.1,3.33,6.11,4.99,1.57,4.03,5.26,1.05,3.59,,,,,,,
July,,,,,,5.84,2.51,1.8,4.49,3.84,6.52,1.5,4.58,4.24,4.8,1.77,3.02,3.06,1.59,3.44,6.93,4.6,4.43,3.02,,,,,,,
August,,,,,,3.26,2.75,7.82,2.52,4.18,2,6.38,7.12,4.75,6.42,5.11,4.4,4.1,5.25,4.23,5.43,7.48,1.55,1.32,,,,,,,
September,,,,,,0.75,2.64,2.19,11.33,3.43,2.43,1.15,4.33,4.98,4.82,4.7,3.06,6.06,0.59,2.18,6.08,5.18,3.92,1.45,,,,,,,
October,,,,,,2.6,7.05,7.15,4.01,4.39,2.55,2.85,1.72,4.19,7.23,5.11,5.46,4.89,6.25,5.79,7.04,2.09,7.68,6.43,,,,,,,
November,,,,,,4.31,5.7,6.44,2.55,4.47,1.81,2.88,3.5,7.84,3.63,4.19,4.79,5.72,8.97,8.74,5.59,5.96,4.48,3.4,,,,,,,
December,,,,,,7.26,4.68,3.11,9.61,10.09,5.01,8.27,5.76,4.96,4.09,5.41,3.88,2.28,4.07,10.49,4.06,2.43,2.21,0.83,,,,,,,
Total,,,,,,,53.7,44.62,55.07,53.65,53.95,41.5,51.04,56.6,48.86,51.18,47.09,51.48,56.33,45.46,58.02,56.4,46.27,35.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Lockerbrook Plantation. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Based on the description in the record the gauge could be up to 250m N or S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 50m on 24 July 1923 and height changed from 755 ft. to 782 ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
