COLCHESTER-BERECHURCH-MAYPOLE-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL985219,Long,0.881293,Lat,51.860366,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.2,0.77,2.79,1.19,0.73,0.77,1.54,1.12,2.53,2.66,1.54,,1.14,1.62,3,2.31,2.25,1.95,3.9,,2.31,1.08,2.51,1.23,3.28,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.07,0.86,2.3,0.89,1.39,1.99,2.24,1.15,1.38,0.6,1.92,,4.14,0.81,0.51,3.21,0.42,0.17,1.8,,0.64,1.93,2.07,3.03,1.24,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.75,2.2,1.68,0.79,1.75,2.87,1.02,2.17,3.07,1.57,4.05,,4.04,2.01,0.95,2.13,0.9,0.92,1.32,,0.65,0.94,0.04,2.08,2.91,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.99,2.15,0.64,2.92,2.67,1.69,1.62,0.92,0.3,2.56,1.17,,1.46,1.84,2.13,3.76,3.43,1.71,2.42,,2.7,1.7,4.29,1.92,1.02,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.68,1.47,1.7,2.3,1.02,0.87,2.95,0.8,1.23,1.94,1.34,,1.75,2.37,1.87,0.75,0.9,1.1,1.07,,3.55,2.32,1.04,0.71,2.17,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.69,3.46,1.76,2.49,0.69,4.54,1.52,2.19,1.74,1.57,1.17,,2.58,0.68,0.8,1.26,0.95,0.1,1.04,,2.01,0.37,3.51,4.1,2.47,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.99,0.48,0.31,1.66,3.57,3.86,1.5,0.36,1.72,1.65,1.84,,1.06,2.5,4.29,2.04,3.58,0.24,2.71,,2.63,1.74,2.19,3.53,1.59,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.13,1.54,0.45,1.66,1.91,2.65,2.22,0.96,4.93,0.38,0.83,,4.28,3.79,0.88,2.34,1.81,0.62,1.19,,2.02,2.45,1.22,2.85,2.29,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,0.99,0.95,1.36,0.68,1.22,2.08,0.83,1.53,2.79,1.08,1.03,,1.1,1.08,3.57,0.78,4.12,2.66,3.01,,1.9,2.21,1.34,3.19,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,0.84,1.1,3.69,2.32,1.45,4.32,1.53,2.47,1.71,3.46,1.39,,2.39,3.33,2.04,1.16,1.03,0.57,1.03,,3.89,2.94,2.58,2.1,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,1.29,1.83,4.13,1.73,1.15,1.1,3.23,3.59,1.96,3.01,2.36,,3.69,1.57,2.1,1.72,0.7,1.47,1.4,,2.86,1.67,4.07,2.23,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,1.56,0.6,2.07,2.69,2.14,3.73,3.22,3.77,2.27,0.66,5.75,,2.66,1.47,2.75,3.26,3.19,1.31,1.71,,2.4,1.96,0.5,2.62,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,33.13,18.18,17.41,22.88,21.32,19.69,30.47,23.42,21.03,25.63,21.14,24.39,,30.29,23.07,24.89,24.72,23.28,12.82,22.6,,27.56,21.31,25.36,29.59,25.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
