"CAMBRIDGE (BARROW ROAD)",,,,,,,,,,,,
Grid ref,TL452565,Long,0.122591,Lat,52.187635,,,,,,,
Station no,1201,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.05,1.49,0.87,0.99,2.08,,,,,,,
February,2.52,0.62,1.61,1.73,1.63,,,,,,,
March,2.73,3.24,0.63,1.91,1.37,,,,,,,
April,3.10,1.57,1.91,0.25,0.50,,,,,,,
May,2.60,1.46,1.64,3.50,2.49,,,,,,,
June,1.30,1.26,2.03,1.82,2.05,,,,,,,
July,0.92,0.59,1.95,2.85,0.23,,,,,,,
August,3.23,2.78,2.83,3.70,1.34,,,,,,,
September,2.26,2.58,1.38,1.84,2.16,,,,,,,
October,1.19,2.23,2.60,1.81,3.00,,,,,,,
November,2.80,3.09,1.34,3.20,1.09,,,,,,,
December,1.02,2.12,0.61,1.93,1.78,,,,,,,
Total,25.72,23.03,19.40,25.53,19.72,,,,,,,
Calc annual,25.72,23.03,19.40,25.53,19.72,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
