CAMBRIDGE-BARROW-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL453565,Long,0.124053,Lat,52.187609,Elevation,47,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,-999,1.01,2.06,2.8,2.99,2.76,4.29,1.11,2.57,2.01,3.93,1.09,1.76,1.29,1.68,3.07,0.9,0.84,2.05,1.49,0.87,0.99,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,-999,0.43,1.7,2.09,2.65,0.49,0.5,2.03,2.07,1.3,0.65,0.8,1.13,1.79,1.73,0.77,0.86,2.84,2.52,0.62,1.61,1.73,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.58,1.27,0.41,0.62,3.81,0.44,1.73,2.87,3.19,1.09,0.62,0.26,0.91,1.5,4.63,0.6,0.69,0.36,2.73,3.24,0.63,1.91,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.85,1.83,3.03,1.37,2.45,0.23,2.9,1.31,0.93,1.03,0.96,1.42,0.79,1.13,1.34,1.75,1.53,1.61,3.1,1.57,1.91,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.18,0.59,0.79,1.12,2.44,2.07,1.09,1.4,1.69,1.89,1.46,0.97,1.82,1.64,0.63,2.82,2.27,2.56,2.6,1.46,1.64,3.5,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.91,0.97,2.31,3.97,1.47,0.67,1.95,0.36,1.05,0.49,1.74,0.97,1.44,2.23,3.3,2.32,0.93,1.47,1.3,1.26,2.03,1.82,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,0.97,1.37,0.55,5.78,1.95,1.33,1.83,2.88,2.25,2.62,0.62,1.65,1.74,2.4,1.63,1.56,3.13,6.94,0.92,0.59,1.95,2.85,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.13,1.92,1.66,0.4,0.97,1.58,3.49,0.12,4.05,1.28,1.2,2.42,1.93,3.07,0.25,5.96,0.96,3,3.23,2.78,2.83,3.7,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.7,1.93,5.2,2.85,2.49,3.41,2,0.8,0.45,1.31,1.35,2.53,3.26,2.48,0.9,1.52,0.36,2.78,2.26,2.58,1.38,1.84,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,1.52,1.87,2.05,2.01,2.28,2.48,3.9,1.61,1.87,3.26,1.59,3.02,2.46,1.11,0.23,2.19,3.3,0.39,1.19,2.23,2.6,1.81,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
