"COPINSAY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2693,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.30,2.32,3.36,2.47,1.90,1.88,,2.33,2.71,0.84,1.27,
February,2.53,0.86,1.19,1.30,1.68,2.24,,1.30,1.78,0.42,0.19,
March,2.26,1.61,0.75,0.55,1.13,1.57,,1.26,0.77,0.79,0.30,
April,1.68,0.99,1.94,1.59,1.29,1.04,,3.24,1.13,0.96,0.76,
May,2.54,1.43,1.61,2.44,0.98,1.81,,0.91,0.93,1.55,1.07,
June,0.32,1.38,1.13,1.12,1.09,0.73,,1.51,1.60,2.00,1.41,
July,1.80,1.63,2.90,2.51,1.96,1.66,,1.16,1.48,1.28,0.93,
August,0.92,1.81,2.17,1.87,3.19,1.27,,0.96,0.51,2.56,1.57,
September,2.08,2.37,1.21,4.29,3.51,2.74,,2.18,1.83,3.06,2.69,
October,0.17,2.43,1.61,4.47,2.14,2.00,,4.54,2.09,2.41,3.14,
November,2.43,2.27,1.46,3.91,1.75,1.30,,2.32,3.09,2.13,2.83,
December,1.85,4.56,2.58,2.15,1.10,2.06,,0.53,2.61,2.62,1.88,
Total,20.88,23.66,21.91,28.67,21.72,20.30,,22.24,20.53,20.62,18.04,
Calc annual,20.88,23.66,21.91,28.67,21.72,20.30,0.00,22.24,20.53,20.62,18.04,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,NaN,0.00,0.00,0.00,0.00,
