TELLISFORD-CRABB-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST804557,Long,-2.28177,Lat,51.30009,Elevation,182,ft,,,,,,,,,,,,,
Station no,1970,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.17,0.99,4.59,1.91,3.57,2.22,2.46,0.89,,,,,
February,,,,,,,,,2.41,1.23,0.5,2.39,0.02,3.2,0.12,2.04,,,,,
March,,,,,,,,,2.63,0.14,1.75,0.53,2.19,3.41,2.74,0.9,,,,,
April,,,,,,,,,1.22,0.66,1.47,2.04,2.9,0.95,1.88,5.13,,,,,
May,,,,,,,,,1.32,1.56,1.38,2.64,5.03,2.35,0.71,1.33,,,,,
June,,,,,,,,,2.27,1.28,0.71,1.93,1.28,0.61,1.67,3.45,,,,,
July,,,,,,,,,2,2.06,2.53,3.19,6.62,3.17,2.83,0.47,,,,,
August,,,,,,,,,2.12,2.52,3.82,3.84,0.8,1.1,2.01,1.88,,,,,
September,,,,,,,,,1.52,0.37,3.67,1.79,3.97,2.88,3.01,6.04,,,,,
October,,,,,,,,,4.41,4.58,2.51,0.89,5.2,2,1.94,4.06,,,,,
November,,,,,,,,,3.79,7.27,4.32,4.2,1.98,0.49,1.29,6.31,,,,,
December,,,,,,,,,3.02,6.44,2.95,1.39,1.23,0.9,7.11,3.83,,,,,
Total,,,,,,,,,30.88,29.1,30.2,26.74,34.79,23.28,27.77,36.33,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge from Langholm Dumfries,,,,,,,,,,,,,,,,,,,,,
1928 Feb Dec and total amended in red ink,,,,,,,,,,,,,,,,,,,,,
1931 Total adjusted as monthly values seem correct,,,,,,,,,,,,,,,,,,,,,
