FAKENHAM-COLKIRK,,,,,,,,,,,,,,,,,,,,
Grid ref,TF925266,Long,0.854194,Lat,52.802594,Elevation,210,ft,,,,,,,,,,,,
Station no,1426/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.85,1.31,1.95,1.36,2.69,1.57,1.02,,1.05,1.87,,,,,,,
February,,,,1.99,1.14,1.37,2.71,3.04,1.29,2.39,,3.37,1.5,,,,,,,
March,,,,1.75,1.06,0.65,2.83,2.11,1.04,0.72,,2,1.29,,,,,,,
April,,,,1.35,1.28,0.76,3.01,2.6,0.85,2.19,,0.86,2.43,,,,,,,
May,,,,2.94,1.47,1.08,0.46,1.72,3.58,2.68,,0.62,1.54,,,,,,,
June,,,,1.59,1.41,2.13,2.01,1.28,2.38,3.95,,1.89,2.95,,,,,,,
July,,,,2.34,1.41,7.29,2.69,2.34,0.9,4.52,,2.14,2.13,,,,,,,
August,,,,1.63,1.98,0.74,2.25,3.73,5.32,2.86,,3.91,1.76,,,,,,,
September,,,,2.59,2.66,2.2,4.23,2.56,2.01,2.82,,2.92,3.25,,,,,,,
October,,,,2.04,1.6,2.96,1.2,1.59,2.82,1.47,,2.69,,,,,,,,
November,,,,1.22,2.8,6.14,2.91,2.69,7.82,1.99,,2.45,,,,,,,,
December,,,,0.71,2.45,2.02,3.3,2.18,2.2,0.8,,2.52,,,,,,,,
Total,,,,22,20.57,29.29,28.96,28.53,31.78,27.41,,26.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
