BROADMOOR-INSTITUTION-OLD-LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU849640,Long,-0.78178517,Lat,51.368725,Elevation,400,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,4.01,1.85,1.74,1.35,2.19,1.35,4.09,3.8,0.68,3.67,1.48,1.23,3.2,3.12,2.77,2.52,3.06,1.91,2.97,2.47,2.33,1.78,3.14,1.18,3.16
February,,,,,,,1.96,1.4,1.23,0.38,3.29,1.35,2.06,1.04,3.56,4.38,3.65,1.19,1.1,3.42,0.54,0.31,1.79,3.85,0.28,3.8,2.75,3.77,1.65,0.53,0.61
March,,,,,,,1.54,1.13,3.18,4.16,1.26,1.95,3.08,2.68,4.64,1.1,5.45,1.66,1.04,4.19,1.8,1.14,2.01,3.36,0.63,0.48,0.53,2.78,1.79,0,1.53
April,,,,,,,0.59,3,3.55,2.16,1.94,1.69,0.28,3.07,0.76,1.04,0.64,2,3.72,2.32,3.84,0.59,1.72,2.62,2.52,1.64,2.84,1.92,1.74,0.9,2.02
May,,,,,,,1.65,1.82,1.59,1.84,2.02,3.48,1.84,1.86,1.39,3.22,2.05,1.48,1.98,0.48,0.92,1.02,1.35,2.72,3.26,3.17,1.98,1.08,2.14,3.73,
June,,,,,,,2.44,2.61,1.07,4.06,4.24,1.73,4.21,0.49,1.48,1.31,2.21,2.17,0.99,0.93,1.46,0.29,1.14,0.29,4.19,0.26,3.03,2.18,2.04,1.15,
July,,,,,,,0.44,2.13,2.21,2.8,2.7,0.52,1.34,0.81,1.99,5.06,0.6,5.61,4.77,2.04,5.64,0.26,3.87,1.01,3.44,3.12,2.53,4.48,1.32,1.8,
August,,,,,,,0.82,2.37,2.52,1.98,2.63,0.89,5.24,0.6,1.68,2.86,4.94,5.59,1.04,2.63,1.63,1.86,2.65,2.66,2.56,2.81,0.69,3.47,2.23,1.3,
September,,,,,,2.13,1.25,0.73,2.02,3.63,0.52,1.27,2.02,2.4,0.83,2.5,1.84,2.3,5.39,1.82,1.63,1.68,2.22,1.64,2.74,3.45,1.78,5.37,1.12,0.15,
October,,,,,,1.42,4.43,4.96,2.69,5.68,3.5,2.32,3.89,3.73,1.93,1.6,3.76,3.63,1.66,0.82,1.72,1.56,1.05,6.11,3.89,2.65,2.65,1.15,3.81,2.81,
November,,,,,,2.92,3.23,2.41,0.93,0.89,2.89,3.85,2.04,2.51,2.56,3.54,4.2,0.87,2.8,1.44,1.64,1.42,1.56,1.85,2.62,2.08,5.64,4.03,1.86,6.2,
December,,,,,,1.24,1.36,3.42,1.96,2.97,5.09,6.33,3.92,1.34,9.04,5.88,3.17,1.29,2.38,5.52,2.51,1.61,2.99,-999,4.65,3.53,0.83,3.35,2.24,5.74,
Total,,,,,,,23.72,27.83,24.69,31.9,32.27,26.73,34.01,24.33,30.54,36.16,33.99,29.02,30.07,28.73,26.1,14.26,25.41,29.99,33.75,29.46,27.58,35.36,25.08,25.49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is only part of site at an altitude of 400 ft. and is close the buildings as noted in record. Gauge moved in 1930 about 350m SE, see separate sheet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are two records for 1923 to 1926 inclusive, originally the longer record duplicated the shorter record for all readings but subsequently the a lot of the readings were amended, without explanation. This record has the amended readings and there are still duplicate readings. The shorter 1920s record is recorded separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
