SIDDINGTON-THORNYCROFT-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ864710,Long,-2.2052157,Lat,53.235855,Elevation,377,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,3.07,2.16,2.43,3.4,1.76,4.25,,1.9,,0.69,2.07,,,1.85,4.57,1.77,1.54,0.93,2.48,2.76,,1.14,2.37,,,,,
February,,,2.71,0.64,1.88,0.8,2.79,3.93,,2.19,,4.05,2.51,,,1.63,0.74,0.98,1.64,2.08,0.51,0.58,,2.16,3.06,,,,,
March,,,2.64,1.91,2.46,0.47,2.78,2.51,,1.36,,3.54,2.02,,,2.06,2.24,1.32,1.99,2.72,3.04,1.89,,0.68,1.9,,,,,
April,,,3.19,0.7,1.25,0.87,3.58,1.56,,1.92,,1.11,3.25,,,1.55,1.6,0.89,1.56,2.06,1.21,2.07,,0.71,1.11,,,,,
May,,,2.74,2.02,1.42,1.74,1.11,3.12,,2.19,,2.61,1.55,,,2.08,4.75,2.01,0.76,3.25,2.39,3.7,,1.95,2.15,,,,,
June,,,8.81,1.97,0.53,3.05,1.55,2.14,,3.97,,2.46,6.38,,,3.2,1.96,1.04,3.11,0.92,3.43,1.86,,1.71,1.56,,,,,
July,,,7.43,3.38,2.82,4.86,3.05,4.09,,4.69,2.6,2.81,4.49,,,1.61,4.47,1.1,6.53,3.26,3.61,2.27,,2.76,2.28,,,,,
August,,,2.99,4.18,3.67,2.92,2.43,4.83,,7.83,1.5,5.02,4.59,,,1.59,2.4,1.22,3.47,5.12,4.24,3.98,,1.7,3.8,,,,,
September,,,4.54,2.64,3.96,3.55,4.17,3.06,,2.94,1.82,2.03,2.26,,,3.79,2.59,3.52,1.28,3.19,0.77,2.94,,2.8,0.98,,,,,
October,,,5.35,4.12,2.94,4.37,1.91,3.09,,2.1,1.39,2.71,3.81,,,4.92,4.71,1.9,1.11,2.18,3,4.49,,2.12,2.25,,,,,
November,,,3.24,2.23,3.91,3.35,3.62,3.85,,0.97,1.72,3.11,5.46,,,2.32,2.37,1.46,3.41,2.13,6.55,1.93,,1.49,2.25,,,,,
December,,,3.43,0.88,2.81,1.39,3.45,1.98,,1.95,2.64,3.24,4.85,,,2.09,4.29,2.58,0.77,2.61,0.72,4.74,,3.31,2.08,,,,,
Total,,,50.14,26.83,30.08,30.77,32.2,38.41,,34.01,,33.38,43.24,,,28.69,36.69,19.79,27.17,30.45,31.95,33.21,,22.53,25.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is what looks like the garden area to Thornycroft Hall, the gauge is near a greenhouse, and is about 250m SW of the Hall. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
