JURA (TARBERT),,,,,,,,,,,,
Grid ref,NR612823,Long,-5.828870,Lat,55.974110,,,,,,,
Station no,5444/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.24,6.79,3.73,7.08,4.16,4.98,9.52,9.11,1.62,3.97,,
February,3.64,3.59,3.49,4.45,3.87,2.18,3.98,4.82,1.65,5.08,,
March,3.86,3.80,2.22,3.99,1.84,2.75,5.73,1.19,4.37,1.88,,
April,3.90,2.55,2.56,1.57,4.66,2.46,2.51,1.98,3.73,4.34,,
May,0.66,1.62,4.39,4.18,3.40,3.08,2.47,3.21,1.36,2.64,,
June,2.57,3.32,1.58,3.97,3.79,4.01,3.64,3.46,4.00,2.40,,
July,4.41,3.96,7.67,4.62,0.69,6.71,5.93,5.03,7.63,3.12,,
August,4.08,5.67,6.08,4.19,1.70,5.97,4.52,6.62,1.41,4.74,,
September,3.80,4.51,6.84,9.95,6.67,5.47,5.81,4.31,2.33,3.91,,
October,3.77,6.48,4.48,10.12,6.52,3.96,6.25,4.58,8.35,2.74,,
November,7.99,3.12,9.10,9.98,2.58,3.80,2.81,3.57,6.08,6.57,,
December,8.63,6.55,7.10,8.80,7.59,6.94,5.26,6.46,9.30,7.04,,
Total,54.55,51.96,59.24,72.90,47.47,52.31,58.43,54.34,51.83,48.43,,
Calc annual,54.55,51.96,59.24,72.90,47.47,52.31,58.43,54.34,51.83,48.43,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
