JURA (TARBERT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR612823,Long,-5.82887,Lat,55.97411,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5444/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.76,3.17,6.83,8.21,3.57,3.22,0.61,9.24,6.48,,6.49,7.87,5.64,8.46,5.39,4.52,7.24,6.79,3.73,7.08,4.16,4.98,9.52,9.11,1.62,3.97
February,,,,,6.09,3.16,6.13,4.13,6,2.58,4.32,4.3,5.18,,7.07,4.6,0.04,5.6,3.67,4.58,3.64,3.59,3.49,4.45,3.87,2.18,3.98,4.82,1.65,5.08
March,,,,,2.6,4.76,1.14,5.07,4.68,3.91,3.44,3.52,2.62,,3.67,3.69,3.14,3.99,3.58,3.06,3.86,3.8,2.22,3.99,1.84,2.75,5.73,1.19,4.37,1.88
April,,,,,3.78,2.64,3.31,0.52,2.3,3.13,1.59,1.98,4.27,,2.66,1.98,6.18,3.26,6.91,4.03,3.9,2.55,2.56,1.57,4.66,2.46,2.51,1.98,3.73,4.34
May,,,,,0.98,3.84,3.55,3.37,1.79,2.39,1.65,3.17,4.77,3.29,3.57,0.17,3.4,1.87,2.81,2.78,0.66,1.62,4.39,4.18,3.4,3.08,2.47,3.21,1.36,2.64
June,,,,,3.09,2.55,3.53,5.7,3.02,1.79,1.28,3.23,4.32,,4.72,2.96,4.45,5.81,1.26,2.92,2.57,3.32,1.58,3.97,3.79,4.01,3.64,3.46,4,2.4
July,,,,,2.18,3.61,7.16,5.39,6.48,4.44,3.87,5.22,3.41,2.31,6.31,4.74,6.45,4.91,2.19,6.95,4.41,3.96,7.67,4.62,0.69,6.71,5.93,5.03,7.63,3.12
August,,,,,2.26,3.6,4.53,4.32,2.09,3.06,5.38,6.77,8.13,2.96,1.82,5.36,0.09,4.44,5.14,5.95,4.08,5.67,6.08,4.19,1.7,5.97,4.52,6.62,1.41,4.74
September,,,,,6.77,4.22,4.74,6.26,5.07,5.18,3.24,8.17,6.11,6.44,5.53,6.14,6.1,10.38,3.52,12.57,3.8,4.51,6.84,9.95,6.67,5.47,5.81,4.31,2.33,3.91
October,,,,,11.63,6.45,2.95,11.15,2.02,9.34,5.4,6.22,10.79,7.97,5.3,0.54,2.63,10.12,6.7,6.75,3.77,6.48,4.48,10.12,6.52,3.96,6.25,4.58,8.35,2.74
November,,,,,5.32,4.71,2.05,10.68,8.8,9.42,6.22,2.13,5,10.42,1.4,4.82,7.18,4.43,9.14,4.83,7.99,3.12,9.1,9.98,2.58,3.8,2.81,3.57,6.08,6.57
December,,,,,4.86,8.41,4.08,5.38,5.31,9.59,4.07,8.65,4.17,6.9,6.8,6.51,3.69,7.93,10.08,3.34,8.63,6.55,7.1,8.8,7.59,6.94,5.26,6.46,9.3,7.04
Total,,,,,53.32,51.12,50,70.18,51.13,58.05,41.07,62.6,65.25,,55.34,49.38,48.99,71.2,60.39,62.28,54.55,51.96,59.24,72.9,47.47,52.31,58.43,54.34,51.83,48.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5444/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,678796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
