PRESTATYN-CORONATION-GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ065832,Long,-3.40566,Lat,53.337412,Elevation,18,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.14,4.32,2.14,3.19,2,1.29,1.39,4.78,1.68,3.13,4.55,1.47,2.25,2.55,3.14,2.95,1.84,3,1.99,,,
February,,,,,,,,,,1.02,0.27,2.5,0.1,2.18,0.11,2.17,1.8,4.51,0.4,1.52,2.08,1.73,0.69,2.18,0.89,1.86,3.44,1.3,,,
March,,,,,,,,,,0.29,4.03,0.36,1.55,1.86,1.61,0.38,2.29,1.69,1.04,1.77,2.28,3.02,1.96,0.85,0.54,0.38,0.99,3.75,,,
April,,,,,,,,,,1.11,3.62,2.41,2.44,0.79,1.56,2.14,1.08,2.48,0.23,1.48,1.65,1.71,0.9,0.95,1.13,1.23,0.79,2.52,,,
May,,,,,,,,,,1.26,1.2,2.3,3.13,1.02,1.74,1.65,2.27,2.26,2.05,1.69,2.56,1.77,2.49,1.99,1.08,3.23,2.3,2.66,,,
June,,,,,,,,,,1.24,1.07,4.11,0.47,1.3,1.12,3.44,4.46,1.54,2.66,2.3,0.74,0.21,0.36,2.09,0.97,1.86,2.64,2.92,,,
July,,,,,,,,,,2.23,3.22,1.04,4.15,0.7,0.72,0.66,2.75,1.74,2.72,4.05,2.14,1.18,2.43,1.63,2.98,1.19,2.38,3.19,,,
August,,,,,,,,,,2.73,3.49,4.11,1.4,1.65,2.2,1.26,1.13,0.88,3.7,1.04,0.65,2.7,2.66,2.61,1.9,0.85,3.4,,,,
September,,,,,,,,,,1.61,2.04,3.11,2.56,0.84,1.57,5.06,2.49,1.57,1.96,0.43,2.25,0.59,1.92,3.93,4.44,1.34,2.43,,,,
October,,,,,,,,,,3.51,4.46,1.27,4.37,3.52,3.54,4.02,1.15,2.29,3.19,2.17,3.22,2.49,2.97,3.92,3.79,4.85,0.62,,,,
November,,,,,,,,,,4.89,3.86,4.51,1.9,0.92,1.7,2.28,2.52,1.42,3.54,3.55,4.19,1.8,0.59,2.35,5.53,0.19,2.76,,,,
December,,,,,,,,,,4.78,3.93,1.01,1.44,0.8,4.03,2.67,2.9,3.16,3.16,2.15,1.65,0.86,2.41,1.26,1.67,1.77,2.93,,,,
Total,,,,,,,,,,25.81,35.51,28.87,26.7,17.58,21.19,27.12,29.62,25.22,27.78,26.7,24.88,20.31,21.93,26.9,27.87,20.59,27.68,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1930 record and is Coronation Gardens. Altitudes match. Gauge moved 300m N at the end of July 1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
