HERTFORD-EPPING-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL293068,Long,-0.1285499,Lat,51.744989,Elevation,400,ft,,,,,,,,,,,,,
Station no,943,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.2,1.65,3.66,1.65,2.44,1.69,1.79,1.83,1.78,,,,,,
February,,,,,,,2.72,3.61,1.82,0.61,0.65,1.56,0.11,1.63,0.22,,,,,,
March,,,,,,,0.21,2.1,2.18,0.02,1.76,0.06,1.65,2.68,2.26,,,,,,
April,,,,,,,3.09,1.96,0.72,1.21,2.59,3.41,2.12,1.05,1.28,,,,,,
May,,,,,,,1.56,1.34,1.4,2.04,2.48,2.81,3.5,2.12,0.56,,,,,,
June,,,,,,,3.31,3.26,2.64,0.94,0.74,1.29,0.86,2.2,0.93,,,,,,
July,,,,,,,2.59,2.84,2.11,2.59,2.34,3.47,1.61,1.15,1.26,,,,,,
August,,,,,,,0.79,3.45,1.87,0.96,2.8,4.56,2.67,0.55,2.49,,,,,,
September,,,,,,,2.07,5.39,0.85,0.92,2.88,2.55,1.94,2.93,2.1,,,,,,
October,,,,,,,2.2,3.04,3.82,3.28,1.09,0.57,4.32,1.44,1.78,,,,,,
November,,,,,,,4.27,2.31,2.39,5.7,4.02,3.02,1.49,1.08,1.73,,,,,,
December,,,,,,,0.28,2.6,2.45,5.31,2.46,0.75,0.59,0.46,5.37,,,,,,
Total,,,,,,,26.29,33.55,25.91,25.23,26.25,25.74,22.65,19.12,21.76,,,,,,
