GUNN-GROVE-COTTAGE,,,,,,,,,,
Grid ref,SS633334,Long,-3.9524,Lat,51.08425,Elevation,660,ft,,
Station no,1844/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.8,2.73,3.09,5.45,5.58
February,,,,,,0.53,4.98,4.4,0.36,3.38
March,,,,,,1.75,4.99,1.14,4.31,2
April,,,,,,1.38,0.45,1.12,3.44,3.61
May,,,,,,1.28,2.33,4.26,1.3,1.54
June,,,,,,2.47,1.7,3.8,2.93,1.82
July,,,,,,4.35,4.43,3.74,3.75,7.84
August,,,,,,4.41,5.15,6.61,2.7,7.53
September,,,,,,4.9,7.53,5.7,0.83,5.98
October,,,,,,2.97,4.84,4.88,7,9.11
November,,,,,,1.5,2.01,5.68,8.99,8.23
December,,,,,,3.7,2.97,5.39,8.8,7.65
Total,,,,,,35.04,44.11,49.81,49.86,64.27
,,,,,,,,,,
House found marked on 2019 map,,,,,,,,,,
Elevation on sheet of 700 ft too high and MIDAS has a more likely 660ft,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Gunn SRC_ID 8958,,,,,,,,,,
1956-1967,,,,,,,,,,
