AXMOUTH-MILLMEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SY256909,Long,-3.05512,Lat,50.71295,Elevation,20,ft,,,,,,,,,,,,
Station no,1812/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.97,1.13,1.29,3.55,0.93,4,6.53,0.65,3.33,,,,
February,,,,,,,,1.42,1.94,0.35,3.61,1.7,3.56,0.85,3.19,5.55,,,,
March,,,,,,,,0.56,2.65,5.01,0.68,2.57,4.96,2.73,5.23,0.96,,,,
April,,,,,,,,4.23,3.03,1.97,1.74,2.13,0.18,2.81,1.3,0.91,,,,
May,,,,,,,,2.28,1.64,1.15,3.71,0.98,1.94,2.92,1.69,2.02,,,,
June,,,,,,,,1.78,0.49,3.51,2.51,1.58,3.67,0.65,2.5,1.35,,,,
July,,,,,,,,1.71,1.46,3.35,2.78,0.25,2.54,0.28,5.23,3.65,,,,
August,,,,,,,,1.51,3.42,2.38,3.57,0.47,7.18,1.04,4.14,2.16,,,,
September,,,,,,,,0.82,3.07,1.86,0.41,1.19,1.26,3.37,2.84,1.37,,,,
October,,,,,,,,7.72,4.52,5.53,4.07,3.95,4.62,3.62,3.57,8.2,,,,
November,,,,,,,,2.88,0.99,0.85,4.91,4.11,1.31,3.84,3.87,2.46,,,,
December,,,,,,,,4.86,3.5,5.29,6.07,7.43,4.83,1.99,7.1,8.5,,,,
Total,,,,,,,,30.74,27.84,32.54,37.61,27.29,40.05,30.63,41.31,40.46,,,,
,,,,,,,,,,,,,,,,,,,,
Fairly steep slope means this location was W of the later site but same NGR,,,,,,,,,,,,,,,,,,,,
Marked as 4ft 9in above ground,,,,,,,,,,,,,,,,,,,,
