COLD ASH (THE RIDGE),,,,,,,,,,,,
Grid ref,SU519698,Long,-1.254932,Lat,51.424840,,,,,,,
Station no,806/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.83,1.65,2.90,4.22,1.88,3.51,4.37,3.74,,
February,,,1.48,2.65,1.65,0.25,3.30,3.39,0.36,2.51,,
March,,,0.41,2.89,1.17,1.05,1.80,1.31,3.82,1.23,,
April,,,2.23,0.26,0.31,1.71,0.28,0.90,2.51,0.82,,
May,,,1.93,1.99,3.84,0.21,1.80,2.33,0.69,1.36,,
June,,,1.95,4.26,2.79,1.86,1.24,3.97,1.03,2.20,,
July,,,2.75,2.86,0.17,2.62,2.50,2.77,2.15,2.66,,
August,,,2.33,3.60,0.30,3.69,3.42,4.76,1.99,2.35,,
September,,,2.01,2.32,0.92,3.19,3.51,3.89,0.03,4.63,,
October,,,3.33,2.66,3.27,1.73,2.32,3.78,2.36,8.34,,
November,,,1.69,5.87,1.91,0.79,2.00,2.57,2.66,3.73,,
December,,,0.77,2.79,2.89,4.61,2.66,3.24,5.58,4.31,,
Total,,,21.71,33.80,22.12,25.93,26.71,36.42,27.55,37.88,,
Calc annual,0.00,0.00,21.71,33.80,22.12,25.93,26.71,36.42,27.55,37.88,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
