PENISTONE-SPICER-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE204056,Long,-1.6936,Lat,53.546645,Elevation,985,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3169/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.7,5.45,6.06,,3.85,3.6,5.4,7.05,4.5,6.15,3.75,9.3,1.75,2.6,3.95,4.8,1.15,3.45,3.3,5.7,2.45,3.9,3.95,6.45
February,,,,,,,5.05,1.55,2.85,,5.14,1.34,3.05,2.1,4.35,5.95,4.33,3,2.3,7.05,4.05,1.15,2.4,3.85,3.65,1.6,3.15,5.35,0.2,3.05
March,,,,,,,3.25,0.75,3.15,2.7,5.58,2,2.1,0.55,1.1,2.1,6.4,1.55,1.05,1.75,5.05,1.9,2.6,2.85,3.1,1.6,2.2,3,1.5,2.5
April,,,,,,,3.4,0.4,2.05,3.2,2.08,1.17,2.85,2.4,2.45,2.25,4.5,2.45,4,4,2.4,1.95,2.85,0.7,0.8,2.7,0.4,0.85,5.6,2
May,,,,,,1.29,3.25,3.6,3.05,0.66,2.65,3.45,2.9,2.95,5.15,2.6,3.05,1.65,2.45,2.9,5.1,2.5,2.65,4.7,3.8,0.95,1.05,3.5,1.05,2.5
June,,,,,,4.95,1.1,3.3,3,0.67,0.85,1.25,2.15,1.7,3.4,3.85,2.85,3.95,0.45,1.2,1.5,1.8,3.55,1.6,2.75,3.75,1.1,5.26,2.65,1.6
July,,,,,,4.05,2.3,3.95,6.03,3.5,2.01,3.65,1.7,2.95,1.75,3.25,1.9,1.25,4.55,2.15,2.6,2.2,4,3.4,0.75,6.95,3.15,5.4,2.55,4.35
August,,,,,,1.05,0.85,2.6,1.06,0.9,4,4.9,3.15,3.65,3.4,3.95,0.4,5.05,2.25,3.15,5.35,2.65,3.8,5.7,0.7,7.05,6.08,3.65,1.05,4.5
September,,,,,,4.05,1.6,2.35,1.85,2.65,0.4,2.1,4.1,6.3,1.75,5.85,1.55,1.3,1.45,4.9,2.35,3.65,2.55,3.95,1.2,4.2,5.1,4.2,0.2,4.1
October,,,,,,4.5,3.75,7.9,3.5,5.4,4.95,4,2.4,4.15,6.5,1.9,1.05,1.9,4.25,1.9,1.05,5.95,2.2,5.7,2.25,2.45,3.25,3.1,3.6,8.8
November,,,,,,5.35,2.35,4.85,7.55,8.25,,1.55,3.25,7.45,0.55,7.4,4.85,1.2,6,5.8,9.55,2.35,3.45,7.25,2.2,1.55,2.75,1.05,4.85,6
December,,,,,,3.85,2.25,3.65,3.65,3.6,2,2.8,2,4.25,2.55,3.7,4.5,3.85,7.3,2.4,6.5,3.3,1.75,5.9,4.8,6.05,5,4.95,7.9,6.05
Total,,,,,,,34.85,40.35,43.8,,,31.81,35.05,45.5,37.45,48.95,39.13,36.45,37.8,39.8,49.45,34.2,32.95,49.05,29.3,44.55,35.68,44.21,35.1,51.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Spicer House. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2750, continues to 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
