"CARSPHAIRN KNOCKGRAY",,,,,,,,,,,,
Grid ref,NX576932,Long,-4.239610,Lat,55.212449,,,,,,,
Station no,5020,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.03,3.41,6.94,6.75,,
February,,,,,,,4.64,4.36,5.17,3.24,,
March,,,,,,,3.73,6.19,8.14,4.52,,
April,,,,,,,1.69,3.94,2.07,4.07,,
May,,,,,,,6.88,5.49,2.58,2.30,,
June,,,,,,,1.58,4.98,2.74,5.17,,
July,,,,,,,2.77,2.78,4.81,6.60,,
August,,,,,,,6.27,5.78,4.35,2.73,,
September,,,,,,,1.56,1.17,6.25,2.93,,
October,,,,,,,8.94,9.35,1.90,11.48,,
November,,,,,,,4.68,5.22,5.61,2.21,,
December,,,,,,,5.94,6.67,6.70,7.08,,
Total,,,,,,,54.71,59.34,57.26,59.08,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,54.71,59.34,57.26,59.08,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
